S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2045212.0,Lokanath Behera,INR,"989,515.91",Finance,ok,SAMPAD KUMAR SWAIN,20-Jan-2023 05:55 PM,,BOQ Comparative Chart,HEMANT KUMAR SAHOO CP,Internal,EO ME JE,Sushil Kumar Behera,21-Jun-2023 06:31 PM,finsummary_423698.pdf (602.08 KB),Municipal Bodies||Pattamundai Municipality,2022_ORULB_84790_51,PM-06/2022-23,Construction of C.C Road from Sushant Malik house to Hagura Malik house in ward no- 15,HEMANT KUMAR SAHOO CP,Internal,EO ME JE,Sushil Kumar Behera,21-Jun-2023 06:25 PM,techsummary_423698.pdf (456.53 KB),1,2044397,AKASH MALIK,09-Jan-2023 12:14 PM,Rejected-AOC,L10,21-Jun-2023 06:35 PM,21-Jun-2023,"INR 989,515.91",90.0,Sushil Kumar Behera,21-Jun-2023 06:33 PM,AOCDETAILS.pdf (341.00 KB),THE BIDDER WAS SELECTED THROUGH TRANSPERENCY LOTTERY METHOD,AOC,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT, NRC, INFORMATION REGARDING CURRENT LITIGATION, AFFIDAVIT ETC","6,000",0.0,Nil,Nil,No,Construction of C.C Road from Sushant Malik house to Hagura Malik house in ward no- 15,Construction of C.C Road from Sushant Malik house to Hagura Malik house in ward no 15,Please refer Tender documents. ,NA ,"11,64,000",Civil Works - Roads,NA ,Tender,90.0,120.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,OFFICE OF THE MUNICIPALITY,No ,No,1.0,ICICI BANK,Municipal Bodies||Pattamundai Municipality,PM-06/2022-23,2022_ORULB_84790_51,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,02-Jan-2023 05:00 PM,13-Jan-2023 11:00 AM,02-Jan-2023 05:00 PM,12-Jan-2023 05:00 PM,02-Jan-2023 05:00 PM ,06-Jan-2023 05:00 PM ,02-Jan-2023 05:00 PM,12-Jan-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2049631,Ashok Kumar Pradhan,12-Jan-2023 09:57 AM,Rejected-AOC,L3,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2049703,BALADEV PRADHAN,12-Jan-2023 11:57 AM,Rejected-AOC,L2,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2044508,BIPAD BHANJAN MALIK,09-Jan-2023 12:04 PM,Rejected-AOC,L9,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2045142,GAMAN KUMAR BEHERA,08-Jan-2023 05:57 PM,Rejected-AOC,L7,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2045212,Lokanath Behera,09-Jan-2023 10:49 AM,Accepted-AOC,L1,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2046657,Pradeep Patra,09-Jan-2023 06:21 PM,Rejected-AOC,L4,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2045566,PRADIPTA KUMAR BEHERA,09-Jan-2023 10:55 AM,Rejected-AOC,L5,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2045549,PRANATI BEHERA,09-Jan-2023 11:42 AM,Rejected-AOC,L6,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2049952,SARAT KUMAR MALIK,12-Jan-2023 02:46 PM,Rejected-Finance,THE BIDDR WAS DISQUALIFIED BECAUSE THE BIDDER WAS QUOTED RATE NOT EQUAL TO THE OTHER BIDDERS,21-Jun-2023 06:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2044339,SHAKUNTALA BEHERA,07-Jan-2023 04:56 PM,Rejected-AOC,L11,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2044879,Tapan Kumar Rout,08-Jan-2023 01:01 PM,Rejected-AOC,L8,21-Jun-2023 06:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
