S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2133953.0,Ms GOLDEN WOOD PECKER,INR,"56,927,166",Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_88456_8,05/OPHWC/2023-24,"Cluster for 1. Constn. of Officers Hostel at BPSPA,Bhubaneswar and 2. Constn. of Ramp at BPSPA Bhubaneswar.",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,23-May-2023 08:06 PM,24-May-2023 11:00 AM,techsummary_435963.pdf (137.55 KB),17-Jun-2023,"INR 56,927,166",300.0,Bikram Keshari Malla,17-Jun-2023 07:01 PM,WORKDY.pdf (292.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07-06-2023,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,17-Jun-2023 07:00 PM,finsummary_435963.pdf (705.59 KB),Finance,financial and comparative generate,Bikram Keshari Malla,24-May-2023 12:01 PM,,BOQ Comparative Chart,1,2136983,DHIRENDRA KUMAR JAIN,12-May-2023 03:56 PM,Rejected-Technical,Non-securing qualifying marks in Point of Presentation as per DTCN cl. 110(m),23-May-2023 08:06 PM,Technical,SIX BIDDERS HAVE PARTICIPATED,Bikram Keshari Malla,15-May-2023 01:45 PM,,AOC,"Cluster for 1. Constn. of Officers Hostel at BPSPA,Bhubaneswar and 2. Constn. of Ramp at BPSPA Bhubaneswar.",Building Work,Please refer Tender documents  ,NA ,"6,08,45,625",Civil Works - Buildings,NA ,Tender,90.0,300.0,Bhubaneswar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","6,08,500",Yes,fixed,,Nil,Nil,27-Apr-2023 06:55 PM,15-May-2023 11:00 AM,27-Apr-2023 06:55 PM,12-May-2023 05:00 PM,27-Apr-2023 06:55 PM ,01-May-2023 05:00 PM ,27-Apr-2023 06:55 PM,12-May-2023 05:00 PM,24-May-2023 11:00 AM,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2023-24,2023_OSPHW_88456_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2134236,MITALIKA SWAIN,12-May-2023 02:43 PM,Rejected-Technical,Non-securing qualifying marks in Point of Presentation as per DTCN cl. 110(m),23-May-2023 08:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2133953,Ms GOLDEN WOOD PECKER,12-May-2023 12:54 PM,Accepted-AOC,QUALIFIED BIDDER,17-Jun-2023 07:01 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2136334,PRANAB KUMAR RAY,11-May-2023 07:47 PM,Rejected-Technical,Due to non submission of Sch-C i.e required Tools and Plant to secure qualifying marks as per DTCN clause no-13 and 110 (f) and non submission of value of all existing commitment and on-going works in Sch.-G as per DTCN Cl.-12 and 110(j),23-May-2023 08:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2136885,PRIYA RANJAN BISWAL,12-May-2023 02:07 PM,Rejected-Finance,DUE TO L2 BIDDER,17-Jun-2023 07:00 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2137041,SAKET KUMAR AGRAWAL,12-May-2023 04:35 PM,Rejected-Technical,Due to non submission of Sch-C i.e required Tools and Plant to secure qualifying marks as per DTCN clause no-13 and 110 (f),23-May-2023 08:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
