S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,"17,000",Yes,fixed,,Nil,Nil,SE Dhenkanal R and B Division,SE Dhenkanal ( R and B ) Division,24-Apr-2023 10:00 AM,09-May-2023 11:00 AM,24-Apr-2023 10:00 AM,08-May-2023 05:00 PM,NA ,NA ,24-Apr-2023 10:00 AM,08-May-2023 05:00 PM,Construction of RCC Roof Cycle stand for 200 Cycles inside campus of OAV at Hindol in the district of Dhenkanal for the year 2023-2024.,Construction of RCC Roof Cycle stand for 200 Cycles inside campus of OAV at Hindol in the district of Dhenkanal for the year 2023-2024.,Please refer Tender documents. ,NA ,"16,79,529",Civil Works - Buildings,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,SE Dhenkanal R and B Division,No ,No,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,01 of 2023-2024,2023_EICCL_88277_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Call Notice,AOC,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,2023_EICCL_88277_1,01 of 2023-2024,Construction of RCC Roof Cycle stand for 200 Cycles inside campus of OAV at Hindol in the district of Dhenkanal for the year 2023-2024.,1.0,2134099.0,DILIP KUMAR BEHERA PROP M/S SAI RAM FLY ASH BRICKS,INR,"1,427,768",Superintending Engineer Dhenkanal R and B Division,Internal,Senior DAO AEE Estimator JE Estimator,Manoranjan Biswal,18-May-2023 10:49 AM,techsummary_435331.pdf (238.36 KB),Er. M.R.Biswal,Internal,closed.,Manoranjan Biswal,07-Jun-2023 10:03 AM,finsummary_435331.pdf (47.12 KB),Finance,Total 20 (TWENTY) No bids are admitted,Manoranjan Biswal,10-May-2023 09:44 AM,finance_435331.pdf,BOQ Comparative Chart,07-Jun-2023,"INR 1,427,767",90.0,Manoranjan Biswal,07-Jun-2023 10:04 AM,COMMITTEE.pdf (47.00 KB),Closed.,1,2132248,Biranchi Narayan Nath,06-May-2023 08:50 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2132270,CHANDAN CONSTRUCTION PROP RAMESH CHANDRA NATH,06-May-2023 10:00 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2133166,Debakanta Pradhan,08-May-2023 10:41 AM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2134099,DILIP KUMAR BEHERA PROP M/S SAI RAM FLY ASH BRICKS,08-May-2023 04:32 PM,Accepted-AOC,Accepted,07-Jun-2023 10:05 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2133672,Gyanaranjan Amanta,08-May-2023 02:06 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2134177,MADAN NAIK (S.C),08-May-2023 04:57 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2131230,MAHESWAR ROUT,06-May-2023 11:13 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2132544,NIMAIN CHARAN TARAI,07-May-2023 01:51 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2134000,PRAMIL BEHERA,08-May-2023 04:14 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2132815,PRITI PADMA PATRA,07-May-2023 09:31 PM,Rejected-Finance,Rejected,07-Jun-2023 10:03 AM,AOC
