EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"37,370",Yes,percentage,1.0%,Nil,Nil,Improvement to Kukudanalla MIP (D/W) in Balisankara Block of Sundargarh District under Critical Grant 2023-24.,Improvement to Kukudanalla MIP (D/W) in Balisankara Block of Sundargarh District under Critical Grant 2023-24.,C AND B CLASS CONTRACTOR ,NA ,"37,37,023",Civil Works - Others,Impvt. to MIP ,Tender,90.0,120.0,Balisankara Block,770015.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 02/2023-24,2023_CEMIB_87877_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,15-Apr-2023 10:00 AM,25-Apr-2023 11:00 AM,15-Apr-2023 10:00 AM,24-Apr-2023 05:30 PM,15-Apr-2023 10:00 AM ,24-Apr-2023 05:30 PM ,15-Apr-2023 10:00 AM,24-Apr-2023 05:30 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GSTIN, No Relation Certificate, CDMS License","Superintending Engineer, MI Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",AOC,"Er. K.C. Acharya SE MI Division, Sundargarh",Internal,"Sri V.Grewal DA, Sri S. LakraAEE(Estr), Smt N. Soreng AE(Estr)",KISHOR CHANDRA ACHARYA,01-May-2023 05:45 PM,techsummary_434180.pdf (1394.07 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2023_CEMIB_87877_1,SE MID SNG 02/2023-24,Improvement to Kukudanalla MIP (D/W) in Balisankara Block of Sundargarh District under Critical Grant 2023-24.,1.0,2120346.0,BINAYA RANJAN PATEL,INR,"3,176,843.13",1,2119166,ALOK KUMAR NAYAK,22-Apr-2023 12:21 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,18-May-2023,"INR 3,176,843.13",120.0,KISHOR CHANDRA ACHARYA,13-Jun-2023 10:13 AM,kukudanalla.pdf (640.00 KB),The tender of Sri Binaya Ranjan Patel B class Engg contractor decided in transparent lottery amounting to Rs 3176843.13 being 14.99 percent less than the tendered value is accepted.,"Er. K.C. Acharya SE MI Division, Sundargarh",Internal,"Sri V.Grewal DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr)",KISHOR CHANDRA ACHARYA,01-May-2023 05:58 PM,finsummary_434180.pdf (1394.07 KB),Finance,All the 16 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,KISHOR CHANDRA ACHARYA,01-May-2023 08:58 AM,finance_434180.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,AOC,,,,,,,,,,,,,,,,2,2117797,BHARAT SETH,20-Apr-2023 01:26 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2120346,BINAYA RANJAN PATEL,24-Apr-2023 11:31 AM,Accepted-AOC,Accepted,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2120310,BIRANCHI PRADHAN ST,23-Apr-2023 08:12 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2120786,BUDDHADEV SUNIANI,24-Apr-2023 11:38 AM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2121188,CHINMAY SARPATIA,24-Apr-2023 03:10 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2119629,DEBADARSI PATRA,22-Apr-2023 09:24 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2120428,DEEPAK DANDAPAT,24-Apr-2023 12:11 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2121078,DHANESWAR MAJHI,24-Apr-2023 02:14 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2120511,DILLIP KUMAR KISAN,24-Apr-2023 12:05 PM,Rejected-AOC,Rejected,13-Jun-2023 10:14 AM,,,,,,,,,,,,,,,,,,,,AOC
