Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
ER. Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Ajit Prasad Mohapatra,27-Jun-2023 06:26 PM,finsummary_420494.pdf (275.67 KB),27-Jun-2023,"INR 5,491,645",180.0,Ajit Prasad Mohapatra,27-Jun-2023 06:31 PM,AOC.pdf (502.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,1,2022289,BHAJAMAN SAHOO,22-Dec-2022 08:21 AM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,27-Jun-2023 06:31 PM,Technical,Total 2 Nos bidder are admitted,Ajit Prasad Mohapatra,23-Dec-2022 12:25 PM,,Finance,Total 2 Nos bidder are admitted,Ajit Prasad Mohapatra,28-Dec-2022 04:47 PM,,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2022_EICCL_84167_1,TCN NO 37 OF 2022-23,Construction of R.I.Office cum Residence at Baliapanda of Puri,1.0,2022289.0,BHAJAMAN SAHOO,INR,"5,491,645",Sri Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattanaik Smt. Smita Pal,Ajit Prasad Mohapatra,28-Dec-2022 01:39 PM,28-Dec-2022 03:30 PM,techsummary_420494.pdf (268.84 KB),AOC,1,ICICI BANK,Construction of R.I.Office cum Residence at Baliapanda of Puri,Construction of R.I.Office cum Residence at Baliapanda of Puri,Please refer Tender documents. ,NA ,"64,59,999",Civil Works - Buildings,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,Er Ajit Prasad Mohapatra,"O/o the S.E. R and B Division, Puri","10,000",0.0,Nil,Nil,No,"64,600",Yes,percentage,1.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"RC,PAN,GSTN,COST OF TENDER PAPER,BID SECURITY DECLARATION,AFIDAVTI,ALL SCHEDULE AND OTHER DOCUMENTS",13-Dec-2022 10:00 AM,23-Dec-2022 11:30 AM,13-Dec-2022 10:00 AM,22-Dec-2022 05:00 PM,NA ,NA ,13-Dec-2022 10:00 AM,22-Dec-2022 05:00 PM,28-Dec-2022 03:30 PM,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 37 OF 2022-23,2022_EICCL_84167_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,2022087,BIMAN BEHERA,21-Dec-2022 06:56 PM,Rejected-AOC,Rejected,27-Jun-2023 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,AOC
