Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Const. of c.c. drain from Jagabandhu Dhal house to Gandhimarg PWD road in ward No.3,Const. of c.c. drain from Jagabandhu Dhal house to Gandhimarg PWD road in ward No.3,Please refer Tender documents. ,NA ,"4,90,961",Civil Works - Others,NA ,Tender,90.0,60.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of paper, EMD through online, RC, GST,PAN,Affidavit,All schedule and other document as per DTCN","4,910",Yes,fixed,,Nil,Nil,Municipal Bodies||Angul Municipality,EO/AGLM-01/2023-24,2023_ORULB_87893_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Apr-2023 10:00 AM,29-Apr-2023 11:00 AM,17-Apr-2023 10:00 AM,28-Apr-2023 05:00 PM,NA ,NA ,17-Apr-2023 10:00 AM,28-Apr-2023 05:00 PM,Executive Officer,"O/O Executive Officer, Angul Municipality, Angul","2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,27-Jun-2023,"INR 490,961.58",60.0,Girija Sankar Mallik,27-Jun-2023 10:55 AM,AOC.pdf (486.00 KB),Date of agreement 30.05.2023 date of completion 28.07.2023,1,2123566,MANSA MODI,26-Apr-2023 07:11 PM,Rejected-AOC,Unsuccessful,27-Jun-2023 10:57 AM,"Akshya Kumar Samant, Chairperson",Internal,"Sri Baitura Deep, OAS (S), Sub-Collector, Angul, Sri Girija Sankar Mallick, OAS, E.O.,Angul Municipality, Sri Harihar Naik, ATO, Angul, Sri Rabin Kumar DAS, AEE, Angul Municipality",Girija Sankar Mallik,02-Jun-2023 12:57 PM,techsummary_434469.pdf (3185.12 KB),"Akshya Kumar Samant, Chairperson",Internal,"Sri Baitura Deep, OAS (S), Sub-Collector, Angul, Sri Girija Sankar Mallick, OAS, E.O.,Angul Municipality, Sri Harihar Naik, ATO, Angul, Sri Rabin Kumar DAS, AEE, Angul Municipality",Girija Sankar Mallik,19-Jun-2023 05:20 PM,finsummary_434469.pdf (3185.12 KB),Municipal Bodies||Angul Municipality,2023_ORULB_87893_10,EO/AGLM-01/2023-24,Const. of c.c. drain from Jagabandhu Dhal house to Gandhimarg PWD road in ward No.3,1.0,2123189.0,RAMA CHANDRA PALEI,INR,"466,462",Finance,3 Nos bidders participated,Girija Sankar Mallik,02-May-2023 09:54 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,2123189,RAMA CHANDRA PALEI,26-Apr-2023 05:54 PM,Accepted-AOC,Successful,27-Jun-2023 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2124724,SRI NIGAMANANDA BEHERA (SC),27-Apr-2023 04:49 PM,Rejected-AOC,Unsuccessful,27-Jun-2023 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
