Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sri Tarini Chandra Sethy,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Manoranjan Behera,20-May-2023 07:35 PM,techsummary_436300.pdf (177.17 KB),01-Jun-2023,"INR 841,205",120.0,Himanshu Sekhar Behera,22-Jun-2023 11:10 AM,32Manjore1.pdf (1457.00 KB),Through transparent lottery system.,1,2135107,ASIAN GEOTECH RESEARCH SERVICES,10-May-2023 11:44 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,1.0,2135670.0,Subudhi Technoengineers Pvt Ltd,INR,"841,205",Finance,10 (Ten) nos. of Bidders have participated,Rajendra Kumar Behera,11-May-2023 01:45 PM,,BOQ Comparative Chart,Sri Tarini Chandra Sethy JD,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Himanshu Sekhar Behera,22-May-2023 07:54 PM,finsummary_436300.pdf (532.36 KB),Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2023_CADSP_88509_32,JDSP-01/2023-24,Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Right Main Canal and offtakings) of Block Athamallik in Angul District,AOC,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-01/2023-24,2023_CADSP_88509_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, EMD,Bid Security Declaration, Affidavit and other Document",Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Right Main Canal and offtakings) of Block Athamallik in Angul District,Survey and Planning for Command Area Development and water management,Please refer Tender documents. ,NA ,"9,89,537",Civil Works - Others,NA ,Tender,90.0,120.0,Athamallik,759125.0,NA ,NA ,NA ,"JD, SP, OFMRDC Campus, Satyanagar, Bhubaneswar-7",No ,No,01-May-2023 11:00 AM,11-May-2023 11:00 AM,01-May-2023 11:00 AM,10-May-2023 05:00 PM,01-May-2023 11:00 AM ,06-May-2023 05:00 PM ,01-May-2023 11:00 AM,10-May-2023 05:00 PM,Deputy Director,"office of JD, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha,","9,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,2,2135180,D N CONSULTANT,10-May-2023 10:11 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,3,2134958,Hydropneum Systems,10-May-2023 11:17 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2131928,M/s M K CONSULTANCY,09-May-2023 03:17 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2135277,NIRAJ BHARAT VANKUDRE,10-May-2023 04:36 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 07:35 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2135670,Subudhi Technoengineers Pvt Ltd,10-May-2023 03:58 PM,Accepted-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2131405,Sujal Associates,06-May-2023 10:24 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2134243,VENKATESHWARA ENTERPRISES,10-May-2023 01:00 PM,Rejected-Technical,Due to non-fulfilling of criteria as per DTCN,20-May-2023 07:35 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2129907,Visiontek Consultancy Services Pvt. Ltd.,10-May-2023 02:35 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2130804,Water Power Consultants india Pvt Ltd,10-May-2023 05:50 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:11 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
