object_id,SDMF_tenders_awarded_value,timeperiod
21-376-03496,22693701.1,2025_09
21-381-03340,8475007.0,2025_09
21-378-03323,39921126.0,2026_02
21-397-03517,78500454.22,2026_02
21-377-03304,17967278.0,2024_07
21-389-03361,36129263.0,2024_06
21-378-03323,194075462.63,2026_03
21-378-03323,105867864.33,2026_01
21-397-03517,49539895.14,2026_01
21-379-03438,31214669.72,2024_10
21-386-03464,8484183.0,2024_10
21-379-03439,51562350.94,2024_11
21-386-03464,41880469.0,2024_11
21-387-03536,24785603.0,2024_11
21-378-03323,41994079.0,2024_08
21-380-03389,13795221.0,2024_08
21-386-03464,16917212.0,2024_08
21-378-03323,29326801.0,2024_09
21-382-03400,15356832.0,2024_09
21-377-03306,5000248.0,2025_11
21-378-03323,116619022.64,2025_11
21-381-03335,14148672.0,2025_11
21-381-03340,21938781.0,2025_11
21-378-03323,78575174.87,2025_12
21-380-03389,59251061.673,2025_12
21-387-03543,54623188.0,2025_01
