Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit, Undertaking and other mandatory documents as per DTCN","6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-06 of 2025-26,2025_EICCL_113360_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Supply, Installation, Testing and Commissioning of AC machines with all required accessories for Blood Collection Centre, First Floor of Annex Building and Old Building (Ground floor and first floor) of AHPGIC, Cuttack",Electrical works,As per DTCN ,NA ,"40,82,565",Electrical Works,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,"40,850",Yes,fixed,,Nil,Nil,14-May-2025 05:00 PM,26-May-2025 11:00 AM,14-May-2025 05:00 PM,23-May-2025 05:00 PM,NA ,NA ,14-May-2025 05:00 PM,23-May-2025 05:00 PM,AOC,Er. Md Shahbaz SE,Internal,Er Aswini Kumar Pradhan JE Estr Er Uma Sankar Bhuyan AEE Estr Mr Abadhut Das Sr DAO,Mohammed Shahbaz,17-Nov-2025 08:03 PM,finsummary_539284.pdf (907.58 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_113360_2,SE CTC (RandB)-06 of 2025-26,"Supply, Installation, Testing and Commissioning of AC machines with all required accessories for Blood Collection Centre, First Floor of Annex Building and Old Building (Ground floor and first floor) of AHPGIC, Cuttack",1.0,2929636.0,NARAYANI CONSTRUCTION,INR,"3,470,589",Finance,16nos bids received,Ashis Kumar Nayak,28-May-2025 01:54 PM,,BOQ Comparative Chart,1,2929159,ANIL KUMAR SAHU,22-May-2025 08:04 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,17-Nov-2025,"INR 3,470,589",60.0,Mohammed Shahbaz,17-Nov-2025 08:08 PM,113360_2_Aoc.pdf (948.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 03.09.2025 to complete the work by 02.11.2025 in all respect,Er Md Shahbaz SE,Internal,Er Aswini Kumar Pradhan JE Estr Er Uma Sankar Bhuyan AEE Estr Mr Abadhut Das Sr DAO,Mohammed Shahbaz,17-Jul-2025 05:06 PM,techsummary_539284.pdf (141.74 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2927383,CABELLA MARKETING PRIVATE LIMITED,21-May-2025 02:01 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2927622,CHITTARANJAN SASMAL,21-May-2025 04:50 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2929339,DEEPAK KUMAR KHATUA,23-May-2025 01:02 AM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2927286,DILIP KUMAR BEURA,21-May-2025 02:11 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2923371,ECO ELECTRIC POWER SOLUTIONS,18-May-2025 01:49 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2929573,EDITION INTERNATIONAL,23-May-2025 10:57 AM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2929204,Fusion Power,22-May-2025 08:54 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2926440,INNOVIZE THERMAL SOLUTIONS,20-May-2025 04:31 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2926511,MEERA ELECTRICALS,20-May-2025 05:39 PM,Rejected-AOC,Rejected,17-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
