Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,s,Sanjib Kumar Behera,30-Jun-2025 12:44 PM,,BOQ Comparative Chart,1.0,2980512.0,NIRANJAN PARIDA,INR,"1,765,935",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2025_EICCL_114636_4,eTCN02,"Construction of Site Development of Standard Laboratory and Office Building Of Assistant Controller,Legal Metrology at Nayagarh for 2025-26.(Such as Rcc Drain,App.Road,Cow Catcher )",SANJIB KUMAR BEHERA,Internal,,Sudipta Panda,09-Nov-2025 06:56 AM,finsummary_543732.pdf (456.58 KB),SANJIB KUMAR BEHERA,Internal,,Sudipta Panda,09-Nov-2025 06:52 AM,techsummary_543732.pdf (607.48 KB),1,2981341,AKULA ROUT,27-Jun-2025 02:43 PM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,10-Nov-2025,"INR 1,765,935",30.0,Sudipta Panda,09-Nov-2025 06:59 AM,LegalAOC.pdf (1014.00 KB),AOC,S.E,Nayagarh RandB Division,"19,193",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN02,2025_EICCL_114636_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Construction of Site Development of Standard Laboratory and Office Building Of Assistant Controller,Legal Metrology at Nayagarh for 2025-26.(Such as Rcc Drain,App.Road,Cow Catcher )","Construction of Site Development of Standard Laboratory and Office Building Of Assistant Controller,Legal Metrology at Nayagarh for 2025-26.(Such as Rcc Drain,App.Road,Cow Catcher )",Please refer Tender documents. ,NA ,"19,19,285",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,Nayagarh RandB Division,No ,No,20-Jun-2025 02:00 PM,28-Jun-2025 11:00 AM,20-Jun-2025 02:00 PM,27-Jun-2025 05:00 PM,NA ,NA ,20-Jun-2025 02:00 PM,27-Jun-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2981226,Aruna Kumar Pattanaik,27-Jun-2025 11:50 AM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,.pdf,"DTCN, LICENCE, PAN, GST, affidavit ETC.",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2979746,BIJAYA KUMAR SETHI,25-Jun-2025 11:26 AM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2981212,DIBAKAR BADAJENA,27-Jun-2025 11:43 AM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2981068,MANJIT KUMAR SWAIN,26-Jun-2025 11:09 PM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2981176,MANORAMA DALEI,27-Jun-2025 11:25 AM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2980512,NIRANJAN PARIDA,26-Jun-2025 05:49 PM,Accepted-AOC,AOC,09-Nov-2025 06:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2981134,PADMA LOCHAN BEHERA,27-Jun-2025 02:27 PM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2980799,SANDEEP KUMAR MAHAPATRA,26-Jun-2025 04:13 PM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979875,SAROJ KUMAR PRADHAN,25-Jun-2025 07:56 PM,Rejected-Finance,Selected through transparency lottery,09-Nov-2025 06:56 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
