Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Block Development Officer Cuttack Sadar,Block office Cuttack Sadar,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||CUTTACK SADAR Block,BLKCUTTACK SADAR-03/2025-26,2025_PRBCS_115918_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"13,425",Yes,percentage,1.0%,Nil,Nil,"6,000",Nil,Nil,No,23-Jul-2025 09:00 AM,02-Aug-2025 11:00 AM,23-Jul-2025 09:00 AM,01-Aug-2025 05:00 PM,23-Jul-2025 09:00 AM ,01-Aug-2025 05:00 PM ,23-Jul-2025 09:00 AM,01-Aug-2025 05:00 PM,CONSTRUCTION OF MULTI UTILITY COMMUNITY HALL AT SIDHESWAR SAHI CUTTACK,Civil Construction,Please refer Tender documents. ,NA ,"13,42,502",Civil Works - Buildings,NA ,Rate Contract,90.0,180.0,Block office Cuttack Sadar,753004.0,Block office Cuttack Sadar ,Block office Cuttack Sadar ,31-Jul-2025 09:00 AM ,Block office Cuttack Sadar,No ,No,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||CUTTACK SADAR Block,2025_PRBCS_115918_1,BLKCUTTACK SADAR-03/2025-26,CONSTRUCTION OF MULTI UTILITY COMMUNITY HALL AT SIDHESWAR SAHI CUTTACK,Pratik Sahoo,Internal,Subhasmita Nath Sarichika Biswal Sasmita Das Rasmita Satpathy Kamalakanta Sethy,PRATIK SAHOO,21-Aug-2025 12:25 PM,finsummary_546964.pdf (363.66 KB),Finance,Admitted,PRATIK SAHOO,05-Aug-2025 03:35 PM,finance_546964.pdf,BOQ Comparative Chart,1.0,3020390.0,JAGANNATH SWAIN,INR,"1,457,579",1,3020390,JAGANNATH SWAIN,01-Aug-2025 01:39 PM,Accepted-AOC,Admitted and L1,02-Nov-2025 08:52 PM,02-Nov-2025,"INR 1,342,502.27",180.0,PRATIK SAHOO,02-Nov-2025 08:52 PM,6895.pdf (637.00 KB),Admitted,Pratik Sahoo,Internal,Subhasmita Nath Sarichika Biswal Sasmita das Rasmita satpathy Kamalakanta Sethy,PRATIK SAHOO,21-Aug-2025 12:19 PM,techsummary_546964.pdf (363.66 KB),AOC
,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3020160,SANTOSH KUMAR MOHAPATRA,01-Aug-2025 12:53 PM,Rejected-Technical,Documents are not okay.,21-Aug-2025 12:19 PM,,,,,,,,,,,,,,AOC
