EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"2,83,814",No,fixed,,Nil,Nil,23-Aug-2025 05:00 PM,09-Sep-2025 11:00 AM,24-Aug-2025 10:00 AM,08-Sep-2025 05:00 PM,24-Aug-2025 10:00 AM ,08-Sep-2025 05:00 PM ,24-Aug-2025 10:00 AM,08-Sep-2025 05:00 PM,24-Oct-2025 11:00 AM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Nawrangpur,15/2025-26,2025_OSCSC_117273_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"DM OSCSC LTD., NABARANGPUR","OFFICE OF THE CSO-CUM-DM OSCSC LTD, NABARANGPUR",1.0,ICICI BANK,"5,900",0.0,Nil,Nil,No,TRANSPORTATION OF CUSTOM MILLED RICE (CMR) FROM RICE RECIVING CENTRE (RRC) TO RETAIL CENTRE (FPS) FOR UMERKOTE BLOCK,TRANSPORTATION OF CUSTOM MILLED RICE (CMR) FROM RICE RECIVING CENTRE (RRC) TO RETAIL CENTRE (FPS) FOR UMERKOTE BLOCK,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,180.0,584.0,UMERKOTE BLOCK,764073.0,OFFICE OF THE DM OSCSC LTD NABARANGPUR ,"OFFICE OF THE CSO-CUM-DM OSCSC LTD, NABARANGPUR ",30-Aug-2025 11:00 AM ,COLLECTORATE NABARANGPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Collector-Cum-Chairman,Internal,"DLO, DSWO, RTO, CSO-Cum-DM",Debashis Mohanty,12-Nov-2025 02:03 PM,finsummary_550362.pdf (620.24 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Nawrangpur,2025_OSCSC_117273_1,15/2025-26,TRANSPORTATION OF CUSTOM MILLED RICE (CMR) FROM RICE RECIVING CENTRE (RRC) TO RETAIL CENTRE (FPS) FOR UMERKOTE BLOCK,Technical,ten number of bidders found,Baratam Srikant,09-Sep-2025 01:47 PM,,1.0,3068856.0,SHRI GOURI SANKAR PATNAIK,INR,"4,825,404",1,3067292,A DHANURJAYA NAIDU,07-Sep-2025 05:56 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,12-Nov-2025,"INR 5,676,278",506.0,Debashis Mohanty,24-Nov-2025 04:11 PM,award_of_contract.pdf (1677.00 KB),Finance,eight number of bidders found,Debashis Mohanty,12-Nov-2025 01:57 PM,finance_550362.pdf,BOQ Comparative Chart,Collector-Cum-Chairman,Internal,CSO-Cum-DM D.L.O D.S.W.O R.T.O Collector-Cum-Chairman,Debashis Mohanty,23-Oct-2025 01:52 PM,24-Oct-2025 11:00 AM,techsummary_550362.pdf (3807.62 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,,,,,,,,,,2,3066958,HEMANT KUMAR CHOURASIYA,07-Sep-2025 05:36 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,3,3067896,IKRAM MOHAMMAD,08-Sep-2025 03:20 PM,Rejected-Technical,"Though the vehicle are in the name of the tenderer but the VLTD are in the name of others, hence, disqualified as per clause no 4.12 of Tender Document",23-Oct-2025 01:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3050427,PRAKASH CHANDRA MOHAPATRA,08-Sep-2025 02:13 PM,Rejected-Technical,"As the tenderer not furnished the required VLTD, hence, disqualified as per clause no 4.12 of Tender Document",23-Oct-2025 01:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3068856,SHRI GOURI SANKAR PATNAIK,08-Sep-2025 02:05 PM,Accepted-AOC,Transparent Lottery System,24-Nov-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3068503,SIVANAND BISSOI,08-Sep-2025 04:55 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3068211,SRI K. RABI,08-Sep-2025 04:08 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3066362,SURAJ KUMAR JAIN,07-Sep-2025 06:47 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3067814,V.NARAYAN RAO,08-Sep-2025 03:45 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3066734,V.SANTOSH KUMAR,06-Sep-2025 10:57 PM,Rejected-Finance,Transparent system of lottery,12-Nov-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,AOC
