S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3108969.0,SUKANTA KUMAR TRIPATHY,INR,"1,809,195",PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,2025_PHEO_118389_1,19 OF 2025-26,Procurement of VFD compatible 100 HP centrifugal pump for Dhenkanal Municipality under Annual Action Plan 2025-26,"Er Prasanta Behera, SEPH",Internal,"Er Prasanta Behera, Superintending Engineer, P.H. Division, Angul, Bijaya Kumar Nayak, D.A.O-I., Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,29-Nov-2025 10:55 AM,techsummary_553426.pdf (401.37 KB),29-Nov-2025,"INR 1,809,195",60.0,Prasanta Behera,29-Nov-2025 11:00 AM,7226.pdf (718.00 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents submitted by the tenderers online.,Prasanta Behera,09-Oct-2025 12:08 PM,,BOQ Comparative Chart,"Er Prasanta Behera, SEPH",Internal,"Er Prasanta Behera, Superintending Engineer, P.H. Division, Angul, Bijaya Kumar Nayak, D.A.O-I., Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,29-Nov-2025 10:57 AM,finsummary_553426.pdf (401.37 KB),1,3113975,SRI ASHWINEE KUMAR MOHANTY,08-Oct-2025 01:22 PM,Rejected-AOC,Transparent lottery not win,29-Nov-2025 11:00 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, Valid Regd. Certificate, GST, PAN, Affidavit, work Experience other as per D","21,280",Yes,fixed,,Nil,Nil,1,ICICI BANK,PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,19 OF 2025-26,2025_PHEO_118389_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER PH DIVISION ANGUL,ANGUL PH DIVISION ANGUL PH No 06764296431,"6,000",0.0,Nil,Nil,No,Procurement of VFD compatible 100 HP centrifugal pump for Dhenkanal Municipality under Annual Action Plan 2025-26,Procurement of VFD compatible 100 HP centrifugal pump for Dhenkanal Municipality under Annual Action Plan 2025-26,Please refer Tender documents. ,NA ,"21,28,000",Civil Works - Water Works,NA ,Tender,90.0,60.0,DHENKANAL,759001.0,NA ,NA ,NA ,ANGUL,No ,No,25-Sep-2025 06:00 PM,09-Oct-2025 11:00 AM,25-Sep-2025 06:00 PM,08-Oct-2025 05:00 PM,NA ,NA ,25-Sep-2025 06:00 PM,08-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3108969,SUKANTA KUMAR TRIPATHY,05-Oct-2025 10:39 PM,Accepted-AOC,Acceptance by transparent lottery,29-Nov-2025 11:00 AM,AOC,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
