S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2823896.0,Swach Environment Private Limited,INR,"174,832,429",IDCO||IDCO||IDCO,2025_IDCO_110362_1,PC/EST/E-39/2024-25,Providing laying testing and commissioning of 800mm dia MS Pipe8mm and 500m 250mmdia DI SSK9 Pipe in Raw water rising,CGMPC,Internal,,Soumendra Priyadarshree Barik,02-Jul-2025 05:02 PM,09-Jul-2025 11:00 AM,techsummary_529218.pdf (257.73 KB),CGMPC,Internal,,Soumendra Priyadarshree Barik,18-Aug-2025 06:35 PM,finsummary_529218.pdf (1293.32 KB),07-Nov-2025,"INR 174,832,429",180.0,Soumendra Priyadarshree Barik,07-Nov-2025 02:13 PM,ARANGAHALADIPADAAGREEMENT71125.pdf (391.00 KB),Finance,FINANCIAL COVER OPENED SUICCESSFULLY.,Soumendra Priyadarshree Barik,09-Jul-2025 12:06 PM,,BOQ Comparative Chart,1,2841549,BMS PROJECTS PVT. LTD.,28-Feb-2025 04:36 PM,Rejected-Technical,Not satisfying required criteria of DTCN,02-Jul-2025 05:02 PM,Technical,Technical cover opened successfully,Soumendra Priyadarshree Barik,01-Mar-2025 06:38 PM,,AOC,"11,800",0.0,Nil,Nil,No,IDCO||IDCO||IDCO,PC/EST/E-39/2024-25,2025_IDCO_110362_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,07-Feb-2025 06:10 PM,01-Mar-2025 04:00 PM,07-Feb-2025 06:15 PM,28-Feb-2025 05:00 PM,07-Feb-2025 06:15 PM ,17-Feb-2025 11:00 AM ,07-Feb-2025 06:15 PM,28-Feb-2025 05:00 PM,09-Jul-2025 11:00 AM,CGM PC,"IDCO TOWERS ,JANPATH ,RUPALI SQUARE, BHUBANESWAR",1.0,Date Corrigendum,Date,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,Providing laying testing and commissioning of 800mm dia MS Pipe8mm and 500m 250mmdia DI SSK9 Pipe in Raw water rising,Providing laying testing and commissioning of 800mm dia MS Pipe8mm and 500m 250mmdia DI SSK9 Pipe in Raw water rising main from proposed Pump House at Kanjiama to Aranga IE and Haldiapada IE KhordhaOdisha,Please refer Tender documents. ,NA ,"19,98,54,171",Civil Works - Water Works,NA ,Tender,120.0,180.0,"Haladiapada khordha,Odisha",752055.0,NA ,NA ,NA ,"IDCO TOWERS ,JANPATH ,RUPALI SQUARE, BHUBANESWAR",No ,No,"19,98,542",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2834458,Construction & Construction,24-Feb-2025 03:39 PM,Rejected-Finance,L7,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2834548,HALDIA DEVELOPMENT COSTRUCTION,24-Feb-2025 02:20 PM,Rejected-Finance,L8,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2805268,Haresh Kumar Agrawal,28-Feb-2025 03:46 PM,Rejected-AOC,L2,07-Nov-2025 02:13 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2828161,LASER POWER & INFRA PRIVATE LIMITED,24-Feb-2025 04:45 PM,Rejected-Finance,L10,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2824403,M/s. B D Sorathia & Co,24-Feb-2025 12:57 PM,Rejected-Finance,L9,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2841174,M/s Bhoorathnom Construction Company Private Limited,28-Feb-2025 03:49 PM,Rejected-Technical,Not satisfying required criteria of DTCN,02-Jul-2025 05:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2834398,N.P.Patel & Co,24-Feb-2025 01:41 PM,Rejected-Finance,L5,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2828298,RANJAN KUMAR ROUT,21-Feb-2025 06:09 PM,Rejected-Finance,L3,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2829483,RRBC Infra Project Private Limited,28-Feb-2025 03:23 PM,Rejected-Technical,Not satisfying required criteria of DTCN,02-Jul-2025 05:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2809981,SISIRA KANTA JENA,11-Feb-2025 01:49 PM,Rejected-Technical,Not satisfying required criteria of DTCN,02-Jul-2025 05:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2826204,SRI DADI MAA CONSULTANT AND CONTRACT MANAGEMENT,24-Feb-2025 03:39 PM,Rejected-Finance,L4,18-Aug-2025 06:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
