Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Tender will be finalized after downloaded Bid documents scrutinized,Sudipta Senapati,04-Oct-2025 01:51 PM,finance_551334.pdf,BOQ Comparative Chart,1.0,3077861.0,AMAR SETHI,INR,"428,716",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_117634_1,online05SERWDII2526,S R to R I Office building at Bhamarapur for the year 2025 26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,30-Nov-2025 11:32 AM,finsummary_551334.pdf (3180.96 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,30-Nov-2025 11:26 AM,techsummary_551334.pdf (1720.26 KB),1,3077861,AMAR SETHI,12-Sep-2025 05:43 PM,Accepted-AOC,Successful Bidder in Lottery,30-Nov-2025 11:37 AM,30-Nov-2025,"INR 428,716",30.0,Sudipta Senapati,30-Nov-2025 11:37 AM,3RIBhamarapurWO.pdf (3181.00 KB),Work Order,AOC,SE RW Division II Ganjam Berhampur,"RURAL WORKS DIVISION NO-II, BERHAMPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC boq and other papers as per DTCN,04-Sep-2025 11:00 AM,15-Sep-2025 04:00 PM,04-Sep-2025 11:00 AM,15-Sep-2025 03:00 PM,04-Sep-2025 11:00 AM ,12-Sep-2025 05:00 PM ,04-Sep-2025 11:00 AM,15-Sep-2025 03:00 PM,"5,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,S R to R I Office building at Bhamarapur for the year 2025 26,S R to R I Office building at Bhamarapur for the year 2025 26,NA ,NA ,"5,04,312",Civil Works - Buildings,NA ,Tender,90.0,30.0,Ganjam,760012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO-II, BERHAMPUR",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,online05SERWDII2526,2025_CERWI_117634_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3078752,Aruna Kumar Rath,14-Sep-2025 10:29 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,.xls,Boq,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3077339,ASHOK KUMAR SAMANT,14-Sep-2025 11:23 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3081479,ASISH KUMAR NAYAK,15-Sep-2025 02:56 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3079658,BALARAM SAHU,14-Sep-2025 03:58 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077739,BAPI SAHU,12-Sep-2025 04:46 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3078572,BHARATI SAHU,13-Sep-2025 02:19 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3075584,BIJAYA KUMAR SAHU,11-Sep-2025 11:00 AM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3077364,BULU SAHU,12-Sep-2025 01:14 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3073779,GHANTA SURYA REDDY,10-Sep-2025 12:50 PM,Rejected-AOC,Unsuccessful Bidder,30-Nov-2025 11:37 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
