Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,Online Tender/02/SERWD PHULBANI/2025-26,2025_CERWI_114723_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,Yes,"8,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,24-Jun-2025 09:00 AM,01-Jul-2025 11:30 AM,24-Jun-2025 09:00 AM,30-Jun-2025 05:00 PM,24-Jun-2025 09:00 AM ,26-Jun-2025 03:00 PM ,24-Jun-2025 09:00 AM,30-Jun-2025 05:00 PM,Construction of Boundary wall of Govt. Homeopathic Dispensary at Minia for the year 2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Minia for the year 2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Minia for the year 2025-26 ,NA ,"8,40,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"OO the SE,RWD,Phulbani",762001.0,NA ,NA ,NA ,"OO the SE,RWD,Phulbani",No ,No,"OO the SE,RWD,Phulbani","OO the SE,RWD,Phulbani",AOC,Er.Kartikeswar Sahu,Internal,DA with Estimator,Pragyan Devi,01-Nov-2025 07:35 PM,finsummary_543920.pdf (24.94 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,2025_CERWI_114723_2,Online Tender/02/SERWD PHULBANI/2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Minia for the year 2025-26,1.0,2984098.0,SIDHANTA KUMAR DIGAL,INR,"713,759",Finance,Bid opening register,Pragyan Devi,01-Nov-2025 07:26 PM,finance_543920.pdf,BOQ Comparative Chart,01-Nov-2025,"INR 713,759",30.0,Pragyan Devi,01-Nov-2025 07:39 PM,TE.pdf (25.00 KB),Awarding of contract,1,2983803,ANATHA RANJAN GURU,30-Jun-2025 01:46 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,Er.Kartikeswar Sahu,Internal,DA with Estimator,Pragyan Devi,01-Nov-2025 07:30 PM,techsummary_543920.pdf (24.94 KB),AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2982697,BASANTI MALLICK,29-Jun-2025 01:03 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2983367,JATIN KUMAR SAHU,30-Jun-2025 10:41 AM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2982754,LOKANATH MALLICK,29-Jun-2025 01:53 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2983980,MANOJ KUMAR DHAL,30-Jun-2025 02:56 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2984051,Mr Abhaya Pattnaik,30-Jun-2025 03:34 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2983621,M/S MAMATA MAHAPATRA,30-Jun-2025 12:24 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2983927,Ramesh Chandra Behera,30-Jun-2025 02:34 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2984098,SIDHANTA KUMAR DIGAL,30-Jun-2025 03:55 PM,Accepted-AOC,Successful bidder,01-Nov-2025 07:39 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2984149,SIMANCHALA NAYAK,30-Jun-2025 04:03 PM,Rejected-Technical,Unsuccessful,01-Nov-2025 07:30 PM,,,,,,,AOC
