Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,Bid id 10 of 2025-26,2025_EICCL_115114_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer rourkela R and division,Office of Superintending Engineer Rourkela R and B division,05-Jul-2025 11:00 AM,22-Jul-2025 11:00 AM,05-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,NA ,NA ,05-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,"35,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Repair and renovation of twelve nos of staff quarter at CHC koida under OMBADC,Repair and renovation of twelve nos of staff quarter at CHC koida under OMBADC,Please refer the tender documents ,NA ,"35,16,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Rourkela,769012.0,NA ,NA ,NA ,Office of Superintending Engineer Rourkela R and B,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, Registration in CDMS, PAN Card, GSTIN Certificate, Affidavit etc",AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,2025_EICCL_115114_9,Bid id 10 of 2025-26,Repair and renovation of twelve nos of staff quarter at CHC koida under OMBADC,Alok Naik SE rourkela r and b dvision,Internal,AK Maharana SrDAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Prajna Prajwolita Parida,28-Nov-2025 11:50 AM,finsummary_545092.pdf (691.68 KB),Finance,11 no of bidder has been participated,Prajna Prajwolita Parida,24-Jul-2025 05:09 PM,,BOQ Comparative Chart,1.0,3006929.0,M/S PRASHANTA KANDI,INR,"2,988,923",1,3005820,BIKRAM BAG,20-Jul-2025 10:30 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,28-Nov-2025,"INR 2,988,923",90.0,Prajna Prajwolita Parida,28-Nov-2025 12:01 PM,12nosworkorder.pdf (692.00 KB),Agmt drawn and Work order issued,Alok Naik SE rourkela r and b dvision,Internal,AK Maharana SrDAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Prajna Prajwolita Parida,28-Nov-2025 11:37 AM,techsummary_545092.pdf (691.68 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Financial instruments such as cost of tender paper, EMD, Affidavit etc",AOC,,,,,,,,,,,,,,,,,,,,,,2,3007299,DEBABRAT SWAIN,21-Jul-2025 04:01 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience Certificate, List of Machinaries,Lease Deeds , MOU with electrical contractor Affidavit e",AOC,,,,,,,,,,,,,,,,,,,,,,3,3005734,GANESH THAKUR,20-Jul-2025 09:32 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Schedule-E, Schedule-F, Affidavit etc",AOC,,,,,,,,,,,,,,,,,,,,,,4,2997534,HIMANSU SEKHAR PANDA,18-Jul-2025 09:46 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,5,3007103,JYOTIRANJAN BAL,21-Jul-2025 02:49 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3006929,M/S PRASHANTA KANDI,21-Jul-2025 02:05 PM,Accepted-AOC,Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3006144,RAKESH KUMAR ROUT,21-Jul-2025 12:45 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3006038,SAROJINI DUNGDUNG,21-Jul-2025 12:53 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3006367,SUDHANSU SEKHAR SAHOO,21-Jul-2025 11:46 AM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3000309,SUJIT KUMAR BEHERA,20-Jul-2025 01:32 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
