EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"72,015",Yes,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,2024_OLIC_105822_72,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,22-Oct-2024 11:00 AM,06-Nov-2024 11:00 AM,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,22-Oct-2024 11:00 AM ,05-Nov-2024 05:00 PM ,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,08-Jan-2025 12:00 PM,"10,000",0.0,Nil,Nil,No,"E.E, L.I Division, Bhadrak","E.E, L.I Division, Bhadrak",1.0,ICICI BANK,Installation and Energization of Package 72,Installation and Energization of Package 72,As per mentioned in DTCN ,NA ,"72,01,499",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I Division, Bhadrak",No ,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC,G T Rao,Internal,,G. TARESWAR RAO,22-Apr-2025 12:24 PM,finsummary_510545.pdf (2475.64 KB),Technical,Admitted,G. TARESWAR RAO,09-Nov-2024 11:26 AM,,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2024_OLIC_105822_72,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,Installation and Energization of Package 72,1.0,2605016.0,PRAKASH BEHERA,INR,"8,158,708",1,2613592,AMALENDU NAYAK,04-Nov-2024 01:58 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,01-Aug-2025,"INR 8,158,708",90.0,DUSHASAN JENA,11-Nov-2025 04:14 PM,PKG72.pdf (242.00 KB),Awarded of Contract,Finance,Financial Bid Opened,G. TARESWAR RAO,08-Jan-2025 04:25 PM,finance_510545.pdf,BOQ Comparative Chart,G T Rao,Internal,,G. TARESWAR RAO,04-Jan-2025 02:57 PM,08-Jan-2025 12:00 PM,techsummary_510545.pdf (2475.64 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,AOC,,,,,,,,,,,,,,,,,,,,,2,2619674,Bhabani Shankar Jena,05-Nov-2024 04:08 PM,Rejected-Technical,Rejected,04-Jan-2025 02:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,3,2616255,BRAHMA SWARUP MOHAPATRA,04-Nov-2024 11:47 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2605309,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,04-Nov-2024 01:33 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2617836,HALADHAR SAHOO,05-Nov-2024 03:22 PM,Rejected-Technical,Rejected,04-Jan-2025 02:57 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2619112,ICON BUILDERS,05-Nov-2024 02:14 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2610440,KAMALAKANTA DAS,05-Nov-2024 10:18 AM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2618072,KARTIKA CHANDRA PRADHAN,05-Nov-2024 12:00 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2614203,KARTIKA CHANDRA PUSTI,05-Nov-2024 11:19 AM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2610258,LAXMAN KUMAR SAHOO,03-Nov-2024 06:26 PM,Rejected-Finance,Due to in L2 Position,22-Apr-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
