Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
06-Jun-2025 12:00 PM,23-Jun-2025 11:00 AM,06-Jun-2025 12:00 PM,21-Jun-2025 05:00 PM,NA ,NA ,06-Jun-2025 12:00 PM,21-Jun-2025 05:00 PM,1.0,ICICI BANK,Execution of new electricity service connection in newly constructed science block of Govt. Autonomus college Rourkela,Execution of new electricity service connection in newly constructed science block of Govt. Autonomus college Rourkela,Please refer the tender document ,NA ,"17,21,162",Electrical Works,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,Office of Superintending Engineer Rourkela R and B,No ,No,Superintending Engineer rourkela R and division,Office of Superintending Engineer Rourkela R and B division,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,Bid id 05 of 2025-26,2025_EICCL_114267_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"17,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, Registration in CDMS, PAN Card, GSTIN Certificate, Affidavit etc","6,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,2025_EICCL_114267_1,Bid id 05 of 2025-26,Execution of new electricity service connection in newly constructed science block of Govt. Autonomus college Rourkela,Alok Naik SE rourkela r and b dvision,Internal,AK Maharana SrDAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Alok Kumar Naik,11-Nov-2025 11:27 AM,finsummary_542412.pdf (727.29 KB),Finance,4 bidder has been participated,Alok Kumar Naik,23-Jun-2025 02:18 PM,,BOQ Comparative Chart,1.0,2962322.0,SARADA TECHNO SERVICES,INR,"1,463,106",11-Nov-2025,"INR 1,463,106",30.0,Alok Kumar Naik,11-Nov-2025 11:33 AM,ExecutionWorkorder.pdf (727.00 KB),Agmt drawn and Work order issued,1.0,2973732.0,JUPITER ENGINEERS,19-Jun-2025 08:29 PM,Rejected-AOC,Not Qualified in the Lottery,11-Nov-2025 11:33 AM,Alok Naik SE rourkela r and b dvision,Internal,AK Maharana SrDAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Alok Kumar Naik,11-Nov-2025 11:19 AM,techsummary_542412.pdf (727.29 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Financial instruments such as cost of tender paper, EMD, Affidavit etc",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2957821.0,RAKESH PATTANAYAK,09-Jun-2025 05:33 PM,Rejected-AOC,Not Qualified in the Lottery,11-Nov-2025 11:33 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience Certificate, List of Machinaries,Lease Deeds , Affidavit etc",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2962322.0,SARADA TECHNO SERVICES,11-Jun-2025 07:27 PM,Accepted-AOC,Qualified in the Lottery,11-Nov-2025 11:33 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Schedule-E, Schedule-F, Affidavit etc",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2977021.0,saraswati telesolutions,21-Jun-2025 03:55 PM,Rejected-AOC,Not Qualified in the Lottery,11-Nov-2025 11:33 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
