Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,tender opened,Vedbhushan .,12-Mar-2025 11:35 AM,finance_529471.pdf,BOQ Comparative Chart,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_110243_32,27/SMC_SBP/2024-25,Construction of paver block road from Sree Vihar Road near M.K Mahapatra house Ward No-36,1.0,2828624.0,RAMESH CHANDRA PANIGRAHI,INR,"2,704,270.48",1,2829294,BARNALI JOSHI,21-Feb-2025 03:05 PM,Rejected-Technical,UNSUCCESSFUL,12-Nov-2025 11:30 AM,12-Nov-2025,"INR 2,704,270.48",90.0,PADMINI MEHER,12-Nov-2025 11:34 AM,27smc32.pdf (97.00 KB),successful,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,12-Nov-2025 11:30 AM,techsummary_529471.pdf (96.56 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,12-Nov-2025 11:32 AM,finsummary_529471.pdf (96.56 KB),AOC,1.0,ICICI BANK,"27,043",Yes,percentage,1.0%,Nil,Nil,Construction of paver block road from Sree Vihar Road near M.K Mahapatra house Ward No-36,Construction of paver block road from Sree Vihar Road near M.K Mahapatra house Ward No-36,Please refer Tender documents. ,NA ,"27,04,270",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,Municipal Bodies||Sambalpur Municipal Corporation,27/SMC_SBP/2024-25,2025_ORULB_110243_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,12-Feb-2025 11:00 AM,24-Feb-2025 11:00 AM,12-Feb-2025 11:00 AM,21-Feb-2025 05:00 PM,NA ,NA ,12-Feb-2025 11:00 AM,21-Feb-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","COMMISSIONER, SMC","New Office Building, SMC Durgapali,Sambalpur",AOC
,,,,,,,,,,,,,,,2,2827833,RAMESH CHANDRA MAHAKUD,21-Feb-2025 02:10 PM,Rejected-Technical,UNSUCCESSFUL,12-Nov-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,3,2828624,RAMESH CHANDRA PANIGRAHI,20-Feb-2025 11:33 PM,Accepted-AOC,successful,12-Nov-2025 11:34 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2828262,RENU PANSARI,20-Feb-2025 07:12 PM,Rejected-Technical,UNSUCCESSFUL,12-Nov-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
