Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,000",0.0,Nil,Nil,No,"S.E,Balangir (R and B) Division,Balangir","O/O S.E,Balangir (R and B) Division,Balangir","10,000",Yes,fixed,,Nil,Nil,"Special Repair to Tusura-Rusuda Chowk via Kharda, Likhiria Chowk Road from 0/0 KM to 1/500 KM in the district of Bolangir",Road work,Please refer tender document ,NA ,"9,99,905",Civil Works - Roads,NA ,Tender,90.0,30.0,Balangir,767001.0,NA ,NA ,NA ,"O/O S.E,Balangir (R and B) Division,Balangir",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof Copy Tender cost and EMD, Registration Certificate, PAN, GSTIN,etc.",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,BGR (R and B)-15 of 2025-26,2025_EICCL_117823_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,09-Sep-2025 06:55 PM,16-Sep-2025 11:30 AM,09-Sep-2025 06:55 PM,15-Sep-2025 05:00 PM,09-Sep-2025 06:55 PM ,12-Sep-2025 05:00 PM ,09-Sep-2025 06:55 PM,15-Sep-2025 05:00 PM,1.0,ICICI BANK,AOC,1,3080259,BIGHNARAJ MISHRA,14-Sep-2025 11:42 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,06-Nov-2025,"INR 850,020",30.0,ASHUTOS JENA,06-Nov-2025 04:33 PM,AOCforSRtoTusuraRusudaChowk.pdf (331.00 KB),"The work is awarded to Manorama Satpathy, 'C' Class Contractor.",Ashutos Jena,Internal,,ASHUTOS JENA,06-Nov-2025 12:01 PM,techsummary_551929.pdf (1029.75 KB),Ashutos Jena,Internal,,ASHUTOS JENA,06-Nov-2025 12:17 PM,finsummary_551929.pdf (618.50 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,2025_EICCL_117823_3,BGR (R and B)-15 of 2025-26,"Special Repair to Tusura-Rusuda Chowk via Kharda, Likhiria Chowk Road from 0/0 KM to 1/500 KM in the district of Bolangir",1.0,3079399.0,MANORAMA SATAPATHY,INR,"850,020",Finance,Total 14 (Fourteen) Nos. bidders were participated and their documents are opened for further evaluation.,ASHUTOS JENA,16-Sep-2025 05:01 PM,finance_551929.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No relationship Certificate, affidavit, MOU etc.",,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3078382,GAJENDRA BAGARTY,13-Sep-2025 01:38 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3079399,MANORAMA SATAPATHY,14-Sep-2025 12:48 PM,Accepted-AOC,The Contractor has been selected as L1 bidder through transparent lottery system.,06-Nov-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3077247,Pooja Jain,12-Sep-2025 12:02 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3079828,PRADIP KUMAR SAHU,14-Sep-2025 05:22 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3078930,PRAKASH KUMAR SAHU,13-Sep-2025 07:19 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3080440,PREMPRAKASH MISHRA,15-Sep-2025 10:06 AM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3078936,Rahul Kumar Sharma,13-Sep-2025 07:27 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3078347,RAJANI MAHAKUR,13-Sep-2025 01:11 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3081200,RASMITA SAHU,15-Sep-2025 01:45 PM,Rejected-Finance,Loose the transparent lottery system,06-Nov-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
