EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,26,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.","11,800",Nil,Nil,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd.,UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",ODISHA CONSTRUCTION CORPORATION LTD,Bid identification No.OCCL-HQP/03/2025-26,2025_OCCL_114893_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,E-procurement Notice No.12/OCCL/2025-26(on-line),Providing C.C. Lining to Khandahata Distributary from RD7.200Km to 9.200Km.,AS PER DTCN. ,NA ,"2,26,30,033",Civil Works - Others,NA ,Tender,90.0,180.0,Khurda town in Khurda district.,752055.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,26-Jun-2025 03:30 PM,17-Jul-2025 12:00 PM,26-Jun-2025 03:30 PM,16-Jul-2025 05:30 PM,26-Jun-2025 03:30 PM ,02-Jul-2025 03:30 PM ,26-Jun-2025 03:30 PM,16-Jul-2025 05:30 PM,22-Aug-2025 03:00 PM,AOC,Technical,Opened Successfully.,Pratap Chandra Chaudhury,17-Jul-2025 01:16 PM,,1,3000894,ACP CONSTRUCTION,16-Jul-2025 01:21 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,Finance,Opened Successfully.,Pratap Chandra Chaudhury,22-Aug-2025 03:48 PM,,BOQ Comparative Chart,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,12-Nov-2025 05:17 PM,finsummary_544520.pdf (1825.95 KB),12-Nov-2025,"INR 22,630,033.11",180.0,Pratap Chandra Chaudhury,12-Nov-2025 05:27 PM,AOC_HQP_03.pdf (1826.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,21-Aug-2025 08:52 PM,22-Aug-2025 03:00 PM,techsummary_544520.pdf (342.00 KB),ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_114893_1,Bid identification No.OCCL-HQP/03/2025-26,E-procurement Notice No.12/OCCL/2025-26(on-line),1.0,2994035.0,SCS Constructions India Pvt Ltd,INR,"19,237,791",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,3000039,BHOOMEE CONDEV PRIVATE LIMITED,15-Jul-2025 03:55 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,3000837,BISWAJIT MOHANTY,16-Jul-2025 12:54 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,2989315,HARIHAR PRASAD ACHARYA,14-Jul-2025 01:35 PM,Rejected-Finance,L2 BIDDER.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,3001199,JANMEJAYA CHHOTARAY,16-Jul-2025 04:24 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,3000636,M/S-TAJ CONSTRUCTION,16-Jul-2025 12:58 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,3000735,M/S TRINATH CONSTRUCTION,16-Jul-2025 03:49 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,2994035,SCS Constructions India Pvt Ltd,10-Jul-2025 01:34 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,12-Nov-2025 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,2997285,SUBHAM PATNAIK,12-Jul-2025 03:25 PM,Rejected-Technical,Non- Responsive.,21-Aug-2025 08:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,2994860,Subrata Kumar Mohanty,15-Jul-2025 04:25 PM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,11,2997908,Water Tech Engineers,14-Jul-2025 07:41 AM,Rejected-Finance,OTHER THAN L1.,12-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
