S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3048364.0,Prafulla Kumar Ratha,INR,"27,545,661.376",Technical,7 nos bidder,Ashoka Kumar Sahoo,26-Aug-2025 04:19 PM,,CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_116730_1,RWCCESNG-07 of 2025-26,Construction of Road from Tharkaspur Shiva Mandir Road to Bhoimunda via Digripada at Loising GP under Jharsuguda Block in the Jharsuguda District for the year 2025-26,Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,27-Nov-2025 12:00 PM,finsummary_549020.pdf (471.96 KB),Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,18-Sep-2025 06:35 PM,22-Sep-2025 11:00 AM,techsummary_549020.pdf (171.38 KB),Finance,6 Nos. of Bidders,Ashoka Kumar Sahoo,22-Sep-2025 05:07 PM,finance_549020.pdf,BOQ Comparative Chart,1,3047059,ANKIT KUMAR BAJAJ,25-Aug-2025 01:57 PM,Rejected-Technical,Not-Qualified ( Due to Non- Submission of Work in Hand as per DTCN Clause No. 2.2.2),18-Sep-2025 06:35 PM,27-Nov-2025,"INR 32,402,848.343",270.0,Ashoka Kumar Sahoo,27-Nov-2025 12:07 PM,3735.pdf (889.00 KB),AOC,CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-07 of 2025-26,2025_CERWI_116730_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"CCE RW Circle, Sundargarh","Rural Works Circle, Sundargarh",Construction of Road from Tharkaspur Shiva Mandir Road to Bhoimunda via Digripada at Loising GP under Jharsuguda Block in the Jharsuguda District for the year 2025-26,Construction of Road from Tharkaspur Shiva Mandir Road to Bhoimunda via Digripada at Loising GP under Jharsuguda Block in the Jharsuguda District for the year 2025-26,Please refer Tender documents. ,NA ,"3,24,02,848",Civil Works - Roads,NA ,Tender,90.0,270.0,Jharsuguda,770020.0,NA ,NA ,NA ,"O/O The CCE RW Circle, Sundargarh",No ,No,"10,000",0.0,Nil,Nil,No,"3,24,028",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN, GSTIN, Affidavit etc.",1.0,ICICI BANK,12-Aug-2025 06:00 PM,26-Aug-2025 11:00 AM,12-Aug-2025 06:00 PM,25-Aug-2025 05:00 PM,12-Aug-2025 06:00 PM ,22-Aug-2025 05:00 PM ,12-Aug-2025 06:00 PM,25-Aug-2025 05:00 PM,22-Sep-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039511,DEBASIS PATTJOSHI,24-Aug-2025 12:37 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Work Experience, Turn Over and other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3046128,KISHANRAJ CHAKRA,24-Aug-2025 11:41 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3048364,Prafulla Kumar Ratha,25-Aug-2025 03:57 PM,Accepted-AOC,Successful Bidder by Lottery,27-Nov-2025 12:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3042870,SRINIBAS PRADHAN INFRA PRIVATE LIMITED,25-Aug-2025 04:50 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3047803,SRI OM PRAKASH SINGH,25-Aug-2025 01:11 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3045390,SUDHIR KUMAR SAIDEO,25-Aug-2025 01:52 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
