Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of Extension of Administrative Building with Knowledge Centre Cum Meeting Room and Lounge Facility for SHGs, Wash Cum Toilets for Cesspool Vehicle Staff and SHGs along with Staircase and Head Room Daspalla NAC, Dist Nayagarh","Construction of Extension of Administrative Building with Knowledge Centre Cum Meeting Room and Lounge Facility for SHGs, Wash Cum Toilets for Cesspool Vehicle Staff and SHGs along with Staircase and Head Room Daspalla NAC, Dist Nayagarh",Please refer Tender documents. ,NA ,"79,62,264",Civil Works - Buildings,NA ,Tender,120.0,180.0,Daspalla,752084.0,NA ,NA ,NA ,"OFFICE OF EXECUTIVE OFFICER, NAC DASPALLA",No ,No,1.0,Fee/PreQual/Technical,.pdf,All tender Doucments,"10,000",0.0,Nil,Nil,No,1,Eligibility Criteria ,E01-Bid Cost ,E01-Bid Cost ,,"79,700",Yes,fixed,,Nil,Nil,"EXECUTIVE OFFICER, NAC DASPALLA","OFFICE OF EXECUTIVE OFFICER, NAC DASPALLA",1.0,ICICI BANK,26-Mar-2025 09:00 AM,10-Apr-2025 11:00 AM,26-Mar-2025 09:00 AM,09-Apr-2025 05:00 PM,26-Mar-2025 09:00 AM ,29-Mar-2025 05:00 PM ,26-Mar-2025 09:00 AM,09-Apr-2025 05:00 PM,17-Apr-2025 11:00 AM,Municipal Bodies||Daspalla NAC,NAC-Daspalla/01/2024-25,2025_ORULB_111895_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,10-Nov-2025,"INR 6,768,721",30.0,AVINASH MOHANTY,18-Nov-2025 12:59 PM,workorderFSTP.pdf (525.00 KB),1.0,2879812.0,DEVIPRASAD DASH,09-Apr-2025 03:14 PM,Rejected-AOC,NO,18-Nov-2025 01:00 PM,Finance,All four bids admitted. And will go for lotery as all quoted 14.99 less,SUJIT KUMAR SETHY,17-Apr-2025 01:42 PM,finance_534272.pdf,BOQ Comparative Chart,"Chairperson,NAC Daspalla",Internal,"Chairperson,NAC Daspalla,Executive Officer, NAC Daspalla,Member-Convenor,Municipal Engineer, NAC Daspalla,Member,Assistant Engineer(Civil),NAC Daspalla Member,Accounts Consultant, NAC Daspalla Member",SUJIT KUMAR SETHY,16-Apr-2025 07:30 PM,17-Apr-2025 11:00 AM,techsummary_534272.pdf (774.72 KB),"Chairperson,Daspalla NAC",Internal,Executive Oficer Municipal Engineer Assistant Engineer Accountant,AVINASH MOHANTY,06-Nov-2025 04:04 PM,finsummary_534272.pdf (624.14 KB),Municipal Bodies||Daspalla NAC,2025_ORULB_111895_1,NAC-Daspalla/01/2024-25,"Construction of Extension of Administrative Building with Knowledge Centre Cum Meeting Room and Lounge Facility for SHGs, Wash Cum Toilets for Cesspool Vehicle Staff and SHGs along with Staircase and Head Room Daspalla NAC, Dist Nayagarh",Technical,All four no. bids admitted.Financial Bids will be opened on dt.17.04.2025 at 11.00 AM,SUJIT KUMAR SETHY,16-Apr-2025 07:21 PM,technical_534272.pdf,1.0,2879869.0,JITENDRA KUMAR BEHERA,INR,"6,768,721",AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,2,Eligibility Criteria ,E02-Bid Security ,E02-Bid Security ,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,2879869.0,JITENDRA KUMAR BEHERA,09-Apr-2025 04:10 PM,Accepted-AOC,Evalated by Lottery process,18-Nov-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Eligibility Criteria ,E03-Bid Security Declaration_Schedile-I ,E03-Bid Security Declaration_Schedile-I ,BidSecurity_Declaration_Schedule_I.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,2879563.0,PRASANT KUMAR GURU,09-Apr-2025 01:48 PM,Rejected-AOC,NO,18-Nov-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Eligibility Criteria ,E04-Registration Certificate ,E04-Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,2879693.0,RAKESH KUMAR SAHOO,09-Apr-2025 01:30 PM,Rejected-AOC,NO,18-Nov-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Eligibility Criteria ,E05-GSTIN ,E05-GSTIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Eligibility Criteria ,E06-No Relationship Certificate_Schedule-A ,E06-No Relationship Certificate_Schedule-A ,No_Relationship_Certificate_Schedule_A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Eligibility Criteria ,E07-Relationship Declaration_Schedule-A1 ,E07-Relationship Declaration_Schedule-A1 ,Relationship_Declaration_Schedule_A1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Eligibility Criteria ,E09-CurrentLitigation_Schedule- E ,E09-CurrentLitigation_Schedule- E ,Current_Litigation_Schedule_E.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Eligibility Criteria ,E10- Affidavit_Schedule-F ,E10- Affidavit_Schedule-F ,AffidavitSchedule_F.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Legal Document ,01.PAN ,Parmanent Account No. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
