Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GSTIN, PAC, RC, Affidavit and correctness certificate","10,000",0.0,Nil,Nil,No,29-May-2024 04:00 PM,12-Jun-2024 11:00 AM,29-May-2024 04:00 PM,11-Jun-2024 05:30 PM,NA ,NA ,29-May-2024 04:00 PM,11-Jun-2024 05:30 PM,06-Aug-2024 11:30 AM,1.0,Corrigendum machinery,Other,,Repair and Renovation of Mini Class Room and office chamber at Judicial Academy Cuttack (4th floor),Building work,As per DTCN ,NA ,"1,11,33,526",Civil Works - Buildings,NA ,Tender,90.0,120.0,Cuttack,753001.0,NA ,NA ,NA ,O/o CCE Cuttack RandB Circle,No ,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,CCE.Ctc.(RandB)45/2023-24,2024_EICCL_103038_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,11,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CCE Cuttack RandB Circle,O/o CCE Cuttack RandB Circle,AOC,Pravash Kumar Majhi,Internal,SE Cuttack1 DAO EE PA to CCE JE Estimator,Pravash Kumar Majhi,06-Mar-2025 01:53 PM,finsummary_501088.pdf (1596.11 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK,2024_EICCL_103038_9,CCE.Ctc.(RandB)45/2023-24,Repair and Renovation of Mini Class Room and office chamber at Judicial Academy Cuttack (4th floor),Technical,15 bidders have participated,Pradeep Kumar Rath,25-Jun-2024 12:54 PM,,1.0,2493941.0,SRI DEBADUTTA PAL,INR,"11,168,241",13-Nov-2025,"INR 11,168,241",120.0,Trinatha Behera,13-Nov-2025 04:03 PM,Agt4thfloor.pdf (306.00 KB),The date of commencement may be read as 04.01.2025 to complete the work within 4 calander months,1,2493821,AMULYA SAMANTARAY,09-Jun-2024 05:24 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,Finance,14 bidders have participated,Parsuram Sahu,06-Aug-2024 05:16 PM,,BOQ Comparative Chart,Pradeep Kumar Rath,Internal,Pravash Kumar Majhi SE DAO EE Cuttack Circle AEE Estimator,Pradeep Kumar Rath,03-Aug-2024 08:06 PM,06-Aug-2024 11:30 AM,techsummary_501088.pdf (981.61 KB),AOC
,,.pdf,Machinaries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2493797,BIKARAM SAHOO,09-Jun-2024 11:45 AM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2493808,BISHWOJIT BISWAL,09-Jun-2024 01:16 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2493839,DIGANT PRAKASH KANUNGO,09-Jun-2024 10:41 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2493884,JITENDRA MALLICK,11-Jun-2024 03:57 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2493989,M/S SILICON INTERIORS,11-Jun-2024 02:41 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2494010,NIBEDITA MOHAPATRA,11-Jun-2024 04:53 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2494002,PRADEEP KUMAR PARIDA,11-Jun-2024 04:19 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2493993,RABINDRA MOHANTY,11-Jun-2024 03:24 PM,Rejected-Finance,Due to Transparent lottery,06-Mar-2025 01:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2493969,RAJENDRA KUMAR MAHALI,11-Jun-2024 01:17 PM,Rejected-Technical,Disqualified,03-Aug-2024 08:06 PM,,,,,,,,,,,,,,AOC
