Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
30-May-2025 11:00 AM,18-Jun-2025 11:00 AM,30-May-2025 11:00 AM,17-Jun-2025 05:00 PM,NA ,NA ,30-May-2025 11:00 AM,17-Jun-2025 05:00 PM,10-Sep-2025 11:30 AM,"10,000",Nil,Nil,Yes,"Sub-Collector-Cum-Chirman,RMC,Boudh","Sub-Collector-Cum-Chirman,RMC,Boudh","81,400",Yes,fixed,,Nil,Nil,Construction of Infrastructure Developmental work at Palasagora MY Under RMC Boudh,Construction of Infrastructure Developmental work at Palasagora MY Under RMC Boudh,Please refer Tender documents. ,NA ,"81,33,390",Civil Works - Buildings,NA ,Tender,90.0,270.0,Boudh,762014.0,NA ,NA ,NA ,"Sub-Collector-Cum-Chirman,RMC,Boudh",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof Copy Tender cost and EMD, Registration Certificate, PAN, GSTIN,etc.",Odisha State Agricultural Marketing Board||RMC Boudh,01/2025-26,2025_OSAMB_113917_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,"Sub-Collector, Boudh cum Chairman, R.M.C. Boudh",Internal,"Sub-Collector, Boudh cum Chairman, R.M.C. Boudh",Bhaskar Chandra Panigrahi,05-Oct-2025 01:11 PM,finsummary_541533.pdf (1526.84 KB),Technical,5 Nos bidder found,Bhaskar Chandra Panigrahi,06-Sep-2025 05:58 PM,,Odisha State Agricultural Marketing Board||RMC Boudh,2025_OSAMB_113917_3,01/2025-26,Construction of Infrastructure Developmental work at Palasagora MY Under RMC Boudh,1.0,2970342.0,SHASHIRAM MANGARAJ,INR,"6,914,195.26",1,2970801,Axis India,17-Jun-2025 04:04 PM,Rejected-Technical,He has not submitted contractor Registration certificate and EMD as per term and Condition DTCN,06-Sep-2025 06:21 PM,30-Oct-2025,"INR 6,914,195.26",270.0,Prabin Kumar Banua,06-Nov-2025 07:29 PM,RMC3.pdf (1525.00 KB),Awarded,Finance,Finance,Bhaskar Chandra Panigrahi,05-Oct-2025 12:33 PM,,BOQ Comparative Chart,"Sub-Collector, Boudh cum Chairman, R.M.C. Boudh",Internal,JE Secretary and Accountant,Bhaskar Chandra Panigrahi,06-Sep-2025 06:21 PM,10-Sep-2025 11:30 AM,techsummary_541533.pdf (1199.38 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Work experience certificate, P and T, ATO,labours license, EPF and other as DTCN",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2970974,MANOJ KUMAR BEHERA,17-Jun-2025 04:09 PM,Rejected-AOC,Not Got in Lottery System,06-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2970453,M/S KANYAKA PARAMESWARI ASSOCIATES,17-Jun-2025 12:04 PM,Rejected-AOC,Not Got in Lottery System,06-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2970954,SANJAY KUMAR AGRAWAL,17-Jun-2025 04:12 PM,Rejected-AOC,Not Got in Lottery System,06-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2970342,SHASHIRAM MANGARAJ,17-Jun-2025 01:52 PM,Accepted-AOC,Awarded,06-Nov-2025 07:30 PM,,,,,,,,,,,,,,,,,,,,,AOC
