S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3044773.0,Saroj Kumar Mallick,INR,"16,224,194",C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Usharani Behera,29-Nov-2025 04:26 PM,finsummary_548615.pdf (399.80 KB),Technical,total 12 nos document downloaded,Usharani Behera,26-Aug-2025 04:28 PM,,CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_116589_1,RWC-12/2025,"Road Periodical Maintenance to 5 years completed PMGSY Road OR-07-227 A L039-Salei to Baharana, OR-07-227B L039- Salei to Baharana for the year 2025-26",Finance,total 11 nos document downloaded,Ajay Kumar Behera,24-Sep-2025 12:27 PM,,BOQ Comparative Chart,C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Usharani Behera,13-Sep-2025 01:20 PM,17-Sep-2025 05:00 PM,techsummary_548615.pdf (435.28 KB),29-Nov-2025,"INR 16,224,194",90.0,Usharani Behera,29-Nov-2025 04:31 PM,agmt.pdf (483.00 KB),Agmt drawn,1,3046928,Bijaya Kumar Jena,24-Aug-2025 08:44 PM,Rejected-Technical,Disqualified as per Annexure-I of Schedule-C note7,13-Sep-2025 01:20 PM,AOC,08-Aug-2025 02:00 PM,26-Aug-2025 11:30 AM,08-Aug-2025 02:00 PM,25-Aug-2025 05:00 PM,08-Aug-2025 02:00 PM ,25-Aug-2025 02:00 PM ,08-Aug-2025 02:00 PM,25-Aug-2025 05:00 PM,17-Sep-2025 05:00 PM,Circle Officer,"RURAL WORKS CIRCLE , CUTTACK","Road Periodical Maintenance to 5 years completed PMGSY Road OR-07-227 A L039-Salei to Baharana, OR-07-227B L039- Salei to Baharana for the year 2025-26","Road Periodical Maintenance to 5 years completed PMGSY Road OR-07-227 A L039-Salei to Baharana, OR-07-227B L039- Salei to Baharana for the year 2025-26",NA ,NA ,"1,90,85,042",Civil Works - Roads,NA ,Tender,90.0,90.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , CUTTACK",No ,No,CE RW I||RWCIRCLE-CUTTACK,RWC-12/2025,2025_CERWI_116589_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labour License, No Relationship","1,90,850",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3046982,BISWAJIT PANDA,24-Aug-2025 09:38 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness certificate undertakiing duly filed all affidavit,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3045172,KABINDRA DHAL,25-Aug-2025 02:33 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ATO from CA similar nature of work exprience certificate work in hand followed by checklist as DTCN,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3048100,KISHORE KUMAR PANDA,25-Aug-2025 02:48 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3047796,NARAYAN BHOI,25-Aug-2025 01:32 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3044115,R K ROUT AND PARTNERS,25-Aug-2025 12:29 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3044773,Saroj Kumar Mallick,22-Aug-2025 04:52 PM,Accepted-AOC,Agmt drawn,29-Nov-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3048315,SIBU KANUNGO,25-Aug-2025 04:04 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3047188,SK OBEDULLAH,25-Aug-2025 02:12 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3041795,SRI BANSHIDHAR PANDA,24-Aug-2025 04:17 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3042612,SUBHAM ROUT,20-Aug-2025 02:45 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3040465,SUJIT KUMAR JENA,25-Aug-2025 12:35 PM,Rejected-Finance,Unsucessful bidder,29-Nov-2025 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
