EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,678",Yes,percentage,1.0%,Nil,Nil,15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,22-Sep-2025 01:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,600.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, Pan, Valid GSTIN, Affidavit and other as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,03SERWBLS,2025_CERWI_118067_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, BALASORE",SR to 2 Nos C Qtr Building at Oupada PS for the year 2025-26,SR to 2 Nos C Qtr Building at Oupada PS for the year 2025-26,NA ,NA ,"1,67,752",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,1.0,ICICI BANK,AOC,21-Nov-2025,"INR 142,606",30.0,Soubhagya Kumar Das,21-Nov-2025 05:06 PM,30TCN3.pdf (1035.00 KB),1,3092922,ABHIMANYU DALEI,22-Sep-2025 01:19 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,21-Nov-2025 04:59 PM,techsummary_552611.pdf (1034.83 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_118067_1,03SERWBLS,SR to 2 Nos C Qtr Building at Oupada PS for the year 2025-26,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,21-Nov-2025 05:03 PM,finsummary_552611.pdf (1034.83 KB),Finance,Document downloaded,Priyadarshini Behera,26-Sep-2025 12:29 PM,finance_552611.pdf,BOQ Comparative Chart,1.0,3090619.0,JAYANTA KUMAR PARIDA,INR,"142,606",AOC
,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,3092139,ASHOK KUMAR MOHAPATRA,21-Sep-2025 12:57 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3094651,BASANTA MAHARANA,22-Sep-2025 04:31 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3092870,BIKRAM KESHARI PATRA,21-Sep-2025 10:08 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3095015,GAYADHARA BEHERA,22-Sep-2025 03:22 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3090619,JAYANTA KUMAR PARIDA,21-Sep-2025 12:50 PM,Accepted-AOC,Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3094526,MAA JAGADHATRI LCCS LTD,22-Sep-2025 01:35 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3092137,M/S MANAS KUMAR TRIPATHY,21-Sep-2025 04:59 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3090338,NILAMBAR MOHAPATRA,20-Sep-2025 01:59 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3086419,PANKAJ KUMAR PATRA,21-Sep-2025 05:11 PM,Rejected-AOC,Not Qualified,21-Nov-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
