Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,13-Aug-2025 09:28 PM,14-Aug-2025 03:00 PM,techsummary_544203.pdf (1709.74 KB),1.0,Corrigendum,Corrigendum,13-Aug-2025 06:21 PM,OCCL_SCP-05.pdf ,1689.34,Technical Opening,1.0,2995816.0,BIJAYA NANDA MANDAL,INR,"50,822,620",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_114793_1,Bid identification No.OCCL-SCP/05/2025-26,E-procurement Notice No.11/OCCL/2025-26(on-line),Finance,Opened Successfully.,Pratap Chandra Chaudhury,14-Aug-2025 03:23 PM,,BOQ Comparative Chart,1,2997657,AMRIT PRADHAN,12-Jul-2025 11:02 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:28 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,13-Aug-2025 06:42 PM,,01-Nov-2025,"INR 59,784,283.67",180.0,Pratap Chandra Chaudhury,01-Nov-2025 06:36 PM,SCP_05.pdf (573.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,01-Nov-2025 06:32 PM,finsummary_544203.pdf (572.81 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",24-Jun-2025 03:30 PM,15-Jul-2025 12:00 PM,24-Jun-2025 03:30 PM,14-Jul-2025 05:30 PM,24-Jun-2025 03:30 PM ,30-Jun-2025 03:30 PM ,24-Jun-2025 03:30 PM,14-Jul-2025 05:30 PM,14-Aug-2025 03:00 PM,"11,800",Nil,Nil,No,1.0,ICICI BANK,"5,98,000",Yes,fixed,,Nil,Nil,E-procurement Notice No.11/OCCL/2025-26(on-line),Improvement to service road of right main distributary from RD 15185m to 24035m under Bankbal Irrigation Project.,AS PER DTCN. ,NA ,"5,97,84,284",Civil Works - Others,NA ,Tender,90.0,180.0,Rairangpur in Mayurbhanj district.,757043.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd.,UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",ODISHA CONSTRUCTION CORPORATION LTD,Bid identification No.OCCL-SCP/05/2025-26,2025_OCCL_114793_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2999029,ANUP BUILDERS,14-Jul-2025 04:13 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2995816,BIJAYA NANDA MANDAL,12-Jul-2025 03:25 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,01-Nov-2025 06:36 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2999306,DASARATHI TRIPATHY,14-Jul-2025 04:54 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:28 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2999127,JEETESH RANJAN BEHERA,14-Jul-2025 03:04 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:28 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2993859,LAXMINARAYAN MALLICK,09-Jul-2025 12:24 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2998297,m/s Anand Kumar Agrawal,14-Jul-2025 08:45 AM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2998787,MS GLOBAL CONSTRUCTION,14-Jul-2025 12:16 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2997372,M/S. MAA TARA CONSTRUCTION,12-Jul-2025 08:02 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2999034,M/S SHREE GANESH CONSTRUCTION,14-Jul-2025 04:03 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
