S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN",42/6350-S/R to GHD Building at Bari for 2025-26,42/6350-S/R to GHD Building at Bari for 2025-26,NA ,NA ,"4,20,169",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-13,2025_CERWI_118269_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-Sep-2025 06:30 PM,06-Oct-2025 11:00 AM,19-Sep-2025 06:30 PM,04-Oct-2025 05:00 PM,19-Sep-2025 06:30 PM ,04-Oct-2025 05:00 PM ,19-Sep-2025 06:30 PM,04-Oct-2025 05:00 PM,"4,202",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118269_1,ETCN5-13,42/6350-S/R to GHD Building at Bari for 2025-26,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,20-Nov-2025 01:20 PM,finsummary_553111.pdf (411.21 KB),Finance,19 Nos of Bidders are participated all documents are download and go to further process,Sujata Behera,20-Nov-2025 01:06 PM,finance_553111.pdf,BOQ Comparative Chart,1.0,3108679.0,JADU SINGH,INR,"357,186",20-Nov-2025,"INR 357,186",30.0,Sujata Behera,20-Nov-2025 01:28 PM,13A.pdf (414.00 KB),Awarded through lottery winner,1,3100828,ABINASH SAHU,26-Sep-2025 05:09 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,20-Nov-2025 01:12 PM,techsummary_553111.pdf (411.21 KB),AOC
2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3100769,BANCHHANIDHI PARIDA,26-Sep-2025 05:54 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3098372,BASANTA KUMAR SAHOO,24-Sep-2025 01:06 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3108116,BISWANATH PANDA,03-Oct-2025 11:46 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3100884,GOURANGA CHANDRA NAYAK,26-Sep-2025 06:39 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3101019,HARISH CHANDRA ACHARYA,26-Sep-2025 03:33 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3108679,JADU SINGH,04-Oct-2025 10:20 AM,Accepted-AOC,Awarded through lottery winner,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3105548,JAYADRATH SHIAL (SC),03-Oct-2025 06:02 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3108075,JAYANTA KUMAR DASH,03-Oct-2025 07:37 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3100790,JAYANTA KUMAR PARIDA,26-Sep-2025 05:16 PM,Rejected-AOC,Rejected,20-Nov-2025 01:29 PM,,,,,,,AOC
