S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3068573.0,APARTI SETHY,INR,"1,483,835",Finance,Total 12 Nos Bidder are participated in the online tender,Soumya Ranjan Dwibedi,18-Sep-2025 06:41 PM,,BOQ Comparative Chart,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,24-Nov-2025 04:26 PM,finsummary_551370.pdf (568.46 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_117479_2,TCN No 23 of 2025-26,Construction of Male and Female Toilet Unit (With baby care room) at Civil Court Complex at Nimapada,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,24-Nov-2025 04:21 PM,techsummary_551370.pdf (631.85 KB),1,3068573,APARTI SETHY,10-Sep-2025 12:38 PM,Accepted-AOC,The bidder won the transparency lottery held on dt. 10.10.2025 among the qualified bidder so that the work has been awarded to him,24-Nov-2025 04:33 PM,24-Nov-2025,"INR 1,483,835",30.0,Soumya Ranjan Dwibedi,24-Nov-2025 04:33 PM,AOC.pdf (2026.00 KB),The bidder won the transparency lottery held on dt. 10.10.2025 among the qualified bidder so that the work has been awarded to him,AOC,04-Sep-2025 04:00 PM,11-Sep-2025 11:00 AM,04-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,NA ,NA ,04-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,1.0,ICICI BANK,Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN","17,455",Yes,percentage,1.0%,Nil,Nil,Construction of Male and Female Toilet Unit (With baby care room) at Civil Court Complex at Nimapada,Construction of Male and Female Toilet Unit (With baby care room) at Civil Court Complex at Nimapada,Please refer Tender documents. ,NA ,"17,45,483",Civil Works - Buildings,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 23 of 2025-26,2025_EICCL_117479_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3065651,ASHOK KUMAR SENAPATY,06-Sep-2025 01:16 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3070420,BIBEKANANDA SITHA,09-Sep-2025 04:45 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3064104,DEEPAK KUMAR MOHANTY,05-Sep-2025 11:41 AM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3064800,KHITISH PRASAD MOHANTY,06-Sep-2025 03:53 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3065001,KRUSHNA CHANDRA SWAIN,05-Sep-2025 08:56 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3065579,PRATAP CHANDRA SWAIN,06-Sep-2025 12:45 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3065084,SASMITA MOHANTY,05-Sep-2025 09:44 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3064483,SUBASH CHANDRA SWAIN,05-Sep-2025 03:16 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3065407,SUBAS KUMAR SENAPATI,06-Sep-2025 12:00 PM,Rejected-AOC,Rejected,24-Nov-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
