Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-11/2025-26,2025_CELBB_117617_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of trough wall near RD 50Mtr. of Khalarda Sub-Minor and construction of head wall and VRB on Singhalo Minor.,construction of Trough wall,Please refer Tender documents. ,NA ,"10,81,807",Civil Works - Others,NA ,Tender,90.0,NA ,pratapnagari,753011.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"10,900",Yes,fixed,,Nil,Nil,08-Sep-2025 10:00 AM,18-Sep-2025 10:30 AM,08-Sep-2025 10:00 AM,17-Sep-2025 05:30 PM,NA ,NA ,08-Sep-2025 10:00 AM,17-Sep-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Superintending Engineer prachi division,office of the superintending engineer prachi division BBSR,AOC,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,15-Oct-2025 01:12 PM,techsummary_551688.pdf (123.08 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,15-Oct-2025 01:14 PM,finsummary_551688.pdf (123.08 KB),Finance,TECHNICAL BID OPENED,Swosti Elora Pattnaik,19-Sep-2025 01:15 PM,,BOQ Comparative Chart,25-Nov-2025,"INR 919,644.335",120.0,Raghunath Swain,25-Nov-2025 01:05 PM,23.PDF (135.00 KB),1.0,3084016.0,ULINK SERVICES Prop. DUSHASAN DALAI,INR,"919,644","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_117617_23,SEPRD-11/2025-26,Construction of trough wall near RD 50Mtr. of Khalarda Sub-Minor and construction of head wall and VRB on Singhalo Minor.,1,3082714,ABAKASH KUMAR SAMAL,16-Sep-2025 01:24 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3085101,ARATI SWAIN,17-Sep-2025 03:55 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3084848,ASHOK KUMAR PATRA,17-Sep-2025 01:29 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3078976,BHOLANATH DASH,13-Sep-2025 07:53 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3076900,DEEPAK ROUTRAY,11-Sep-2025 08:11 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3083889,INDRAJIT PRADHAN,16-Sep-2025 03:42 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3083273,Jaya Prakash Routray,16-Sep-2025 12:16 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3085218,JAYASHREE BEHERA,17-Sep-2025 04:21 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3082192,JHARANA DASH,15-Sep-2025 06:36 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3083550,NAMITA BISWAL,17-Sep-2025 01:37 PM,Rejected-Technical,not selected through lottery,15-Oct-2025 01:12 PM,AOC
