Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,11/OPHWC/2025-26,2025_OSPHW_117544_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","2,59,300",Yes,fixed,,Nil,Nil,02-Sep-2025 05:00 PM,17-Sep-2025 10:30 AM,02-Sep-2025 05:00 PM,16-Sep-2025 05:00 PM,NA ,NA ,02-Sep-2025 05:00 PM,16-Sep-2025 05:00 PM,17-Oct-2025 10:30 AM,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Constn. of 8 F type Staff Qtrs. at Joda Fire Station in Keonjhar District,Building Work,Please refer Tender documents. ,NA ,"2,59,31,476",Civil Works - Buildings,NA ,Tender,90.0,300.0,Keonjhar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,1,3083687,BANKA BIHARI MALLICK,16-Sep-2025 02:22 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,16-Oct-2025 05:46 PM,13-Nov-2025,"INR 23,340,922",300.0,Bikram Keshari Malla,13-Nov-2025 03:24 PM,JODA.pdf (78.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 11.11.2025,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,16-Oct-2025 05:46 PM,17-Oct-2025 10:30 AM,techsummary_550929.pdf (318.03 KB),Finance,financial bid opened,MONALISHA PADHY,17-Oct-2025 11:23 AM,,BOQ Comparative Chart,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_117544_7,11/OPHWC/2025-26,Constn. of 8 F type Staff Qtrs. at Joda Fire Station in Keonjhar District,Technical,FIVE BIDDER HAVE PARTICIAPTED,MONALISHA PADHY,17-Sep-2025 11:59 AM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,13-Nov-2025 03:20 PM,finsummary_550929.pdf (831.98 KB),1.0,3071865.0,RATNAKAR NAIK,INR,"23,340,922",AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2,3083755,BINAYA BHUSAN MAHUNTA,16-Sep-2025 03:08 PM,Rejected-Finance,DUE TO L1 BIDDER BUT L2 BIDDER IS SC BIDDER GET WORK AT L1 RATE,13-Nov-2025 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3083523,MANAMOHAN BARAL,16-Sep-2025 02:46 PM,Rejected-Finance,DUE TO L3 BIDDER,13-Nov-2025 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3071865,RATNAKAR NAIK,09-Sep-2025 02:46 PM,Accepted-AOC,QUALIFIED BIDDER,13-Nov-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3083209,VISHAL AGRAWAL,16-Sep-2025 12:19 PM,Rejected-Finance,DUE TO L4 BIDDER,13-Nov-2025 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
