S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1,2699513,ANNAPURNA BEHERA,17-Dec-2024 03:24 PM,Rejected-AOC,L2,07-Nov-2025 02:02 PM,Municipal Bodies||Nilgiri NAC,2024_ORULB_107995_22,NLGN _01/2024-25,Repair of Road from Kuna Mistri House to Gagan Majhi House in Ward No - 05,1.0,2699911.0,HARISH CHANDRA RAY,INR,"169,491",07-Nov-2025,"INR 196,491",30.0,Ansuman Parida,07-Nov-2025 02:02 PM,WO22.pdf (388.00 KB),Finance,Ten bidders participated and quoted same rate which are accepted.,Budhuram Singh,21-Dec-2024 10:37 AM,finance_519838.pdf,BOQ Comparative Chart,"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,07-Nov-2025 01:59 PM,finsummary_519838.pdf (512.77 KB),Chairman Nilgiri NAC,Internal,,Ansuman Parida,09-Apr-2025 03:16 PM,techsummary_519838.pdf (512.65 KB),AOC,09-Dec-2024 11:00 AM,18-Dec-2024 11:00 AM,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,NA ,NA ,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,Municipal Bodies||Nilgiri NAC,NLGN _01/2024-25,2024_ORULB_107995_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"Notified Area Council, Nilgiri, Balasore",1.0,ICICI BANK,600.0,0.0,Nil,Nil,No,"1,695",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit and as per DTCN",Repair of Road from Kuna Mistri House to Gagan Majhi House in Ward No - 05,Repair of Road from Kuna Mistri House to Gagan Majhi House in Ward No - 05,Please refer Tender documents. ,NA ,"1,69,491",Civil Works - Roads,NA ,Tender,90.0,NA ,NILGIRI NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,AOC
2,2697261,ASHOK KUMAR MOHAPATRA,16-Dec-2024 02:42 PM,Rejected-AOC,L4,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
3,2700153,DHARAMJIT NAYAK,17-Dec-2024 12:19 PM,Rejected-AOC,L8,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,2699911,HARISH CHANDRA RAY,17-Dec-2024 02:57 AM,Accepted-AOC,L1,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,2697258,KARTIK BISWAL,15-Dec-2024 08:36 PM,Rejected-AOC,L3,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,2700685,KRUTIBASH NANDA,17-Dec-2024 02:00 PM,Rejected-AOC,L9,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,2699261,MAHENDRA KUMAR SAMANTARAY,16-Dec-2024 06:40 PM,Rejected-AOC,L6,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,2699194,MAHESWAR KHUNTIA,16-Dec-2024 05:33 PM,Rejected-AOC,L5,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,2700995,NILAMBAR MOHAPATRA,17-Dec-2024 03:48 PM,Rejected-AOC,L10,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,2699625,SRI SUKANTA KUMAR MOHAPATRA,16-Dec-2024 10:11 PM,Rejected-AOC,L7,07-Nov-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
