S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3143887.0,SITANSU SEKHAR PANIGRAHI,INR,"11,499,771",Odisha State Agricultural Marketing Board||RMC Padampur,2025_OSAMB_119403_1,RMC PADAMPUR 3/2025-26,"Construction of Meat Market, covershed and Open Pindi at Padampur Main Market Yard, RMC Padampur",Technical,"Bids opened and the bid documents of the bidders were downloaded successfully from the tenderodisha portal. The technical bids will be evaluated by the members of TEC,RMC Padampur as per term and conditions of the DTCN.",RABI NARAYAN PANDA,27-Oct-2025 04:39 PM,technical_555634.pdf,"Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Secretary,RMC,Padampur,Assistant Engineer,OSAMBoard,Bhubaneswar and Junior Engineer,OSAM Board,Bhubaneswr",SNEHA ARUGULA,03-Nov-2025 06:23 PM,finsummary_555634.pdf (137.79 KB),"Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Secretary,RMC,Padampur,Assistant Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar.",SNEHA ARUGULA,30-Oct-2025 07:16 PM,01-Nov-2025 11:00 AM,techsummary_555634.pdf (1107.61 KB),Finance,"Cover II Price bid of the bidder who have qualified in technical evaluation were opened. As all the bidders have quoted and evaluated to equal rate, the TEC recommended that the L1 bidder will be chosen through a transparent lottery system.",RABI NARAYAN PANDA,03-Nov-2025 05:40 PM,finance_555634.pdf,BOQ Comparative Chart,12-Nov-2025,"INR 1,352,755,056",300.0,SNEHA ARUGULA,14-Nov-2025 04:53 PM,PadampurMMY.pdf (253.00 KB),Work Order,1,3144989,ABAKASH MISHRA,23-Oct-2025 01:12 PM,Rejected-Technical,Not eligible.,30-Oct-2025 07:16 PM,AOC,"1,35,276",Yes,fixed,,Nil,Nil,13-Oct-2025 01:00 PM,24-Oct-2025 11:30 AM,13-Oct-2025 01:00 PM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 01:10 PM,23-Oct-2025 05:00 PM,01-Nov-2025 11:00 AM,"Sub-Collector,Padampur-cum-Chairman,RMC, Padampur","At-Padampur, P.O. Rajborasambar, Dist. Bargarh PIN 768036 Odisha",1.0,Fee/PreQual/Technical,.pdf,As per DTCN,Odisha State Agricultural Marketing Board||RMC Padampur,RMC PADAMPUR 3/2025-26,2025_OSAMB_119403_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",Nil,Nil,No,"Construction of Meat Market, covershed and Open Pindi at Padampur Main Market Yard, RMC Padampur",Civil works,Please refer Tender documents. ,NA ,"1,35,27,551",Civil Works - Others,NA ,Tender,90.0,300.0,Padampur Main Market Yard,768036.0,NA ,NA ,NA ,"Office of RMC, Padampur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133167,Balbeer Singh Bains,20-Oct-2025 01:38 PM,Rejected-Technical,Not Eligible.,30-Oct-2025 07:16 PM,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3141890,BIKASH CHANDRA RAO,22-Oct-2025 11:21 AM,Rejected-AOC,Not selected,14-Nov-2025 04:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3143018,Bolli Shyam Babu,22-Oct-2025 06:52 PM,Rejected-Technical,Not eligible.,30-Oct-2025 07:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3143514,DEEPAK RANJAN DASH,22-Oct-2025 06:03 PM,Rejected-AOC,Not selected,14-Nov-2025 04:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3145824,JAYAKUMARI PADHAN,23-Oct-2025 03:16 PM,Rejected-Technical,Not Eligible.,30-Oct-2025 07:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3140613,KAMAL LOCHAN NAIK,22-Oct-2025 09:11 AM,Rejected-AOC,Not selected,14-Nov-2025 04:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3145594,NIRUPAMA DASH,23-Oct-2025 03:01 PM,Rejected-AOC,Not selected,14-Nov-2025 04:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3145984,RAHUL KUMAR AGRAWAL,23-Oct-2025 04:16 PM,Rejected-Technical,Not Eligible.,30-Oct-2025 07:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3143785,ROHIT KUMAR AGRAWAL,23-Oct-2025 03:26 PM,Rejected-Technical,Not eligible.,30-Oct-2025 07:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
