Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Superintending Engineer prachi division,office of the superintending engineer prachi division BBSR,Improvement to left bank service road of Guali Minor from RD 00 to 1640 mtr.,Road work,Please refer Tender documents. ,NA ,"20,51,953",Civil Works - Others,NA ,Tender,90.0,NA ,pratapnagari,753011.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,08-Sep-2025 10:00 AM,18-Sep-2025 10:30 AM,08-Sep-2025 10:00 AM,17-Sep-2025 05:30 PM,NA ,NA ,08-Sep-2025 10:00 AM,17-Sep-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-11/2025-26,2025_CELBB_117617_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"20,600",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,16-Oct-2025 11:23 AM,techsummary_551680.pdf (137.74 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,16-Oct-2025 11:25 AM,finsummary_551680.pdf (137.74 KB),Finance,TECHNICAL BID OPNEND,Swosti Elora Pattnaik,18-Sep-2025 04:58 PM,,BOQ Comparative Chart,25-Nov-2025,"INR 1,744,365.101",120.0,Raghunath Swain,25-Nov-2025 12:32 PM,19.PDF (139.00 KB),1.0,3084926.0,NITIN KUMAR PRADHAN,INR,"1,744,365","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_117617_19,SEPRD-11/2025-26,Improvement to left bank service road of Guali Minor from RD 00 to 1640 mtr.,1,3083495,AKSHAYA KUMAR PATRA,17-Sep-2025 01:06 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3084835,ASHOK KUMAR PATRA,17-Sep-2025 01:07 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3084925,ASWANI KUMAR JENA,17-Sep-2025 01:39 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3082523,BANDITA BHUYAN,15-Sep-2025 08:48 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3084300,BINOD KUMAR MALLICK,16-Sep-2025 07:33 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3085065,CHANDAN KUMAR BEHERA,17-Sep-2025 02:30 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3076892,DEEPAK ROUTRAY,11-Sep-2025 08:07 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3082701,JHUNULATA MUDULI,16-Sep-2025 12:19 AM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3083964,KRUSHNA RANI JENA,17-Sep-2025 02:20 PM,Rejected-Technical,not selected through lottery,16-Oct-2025 11:23 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3085122,MAMATA JENA,17-Sep-2025 03:04 PM,Rejected-Technical,not selected through Lottery,16-Oct-2025 11:23 AM,AOC
