S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,600.0,0.0,Nil,Nil,No,SR to 3 Nos Constable Qtr Building at Oupada PS for the year 2025-26,SR to 3 Nos Constable Qtr Building at Oupada PS for the year 2025-26,NA ,NA ,"1,67,605",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,22-Sep-2025 01:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION, BALASORE",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,03SERWBLS,2025_CERWI_118065_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,1st corrigendum,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, Pan, Valid GSTIN, Affidavit and other as per DTCN","1,676",Yes,percentage,1.0%,Nil,Nil,AOC,1,3092961,ABHIMANYU DALEI,22-Sep-2025 01:44 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,20-Nov-2025,"INR 142,481",30.0,Soubhagya Kumar Das,20-Nov-2025 01:22 PM,28TCN3.pdf (980.00 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,20-Nov-2025 01:13 PM,techsummary_552609.pdf (980.47 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_118065_1,03SERWBLS,SR to 3 Nos Constable Qtr Building at Oupada PS for the year 2025-26,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,20-Nov-2025 01:17 PM,finsummary_552609.pdf (980.47 KB),Finance,Document downloaded,Priyadarshini Behera,26-Sep-2025 12:19 PM,finance_552609.pdf,BOQ Comparative Chart,1.0,3086426.0,PANKAJ KUMAR PATRA,INR,"142,481",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,AOC,2,3094692,BASANTA MAHARANA,22-Sep-2025 04:36 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3092883,BIKRAM KESHARI PATRA,21-Sep-2025 08:30 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3095061,GAYADHARA BEHERA,22-Sep-2025 03:31 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3091852,JAYANTA KUMAR PARIDA,21-Sep-2025 11:33 AM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3092086,M/S MANAS KUMAR TRIPATHY,21-Sep-2025 04:56 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3090312,NILAMBAR MOHAPATRA,20-Sep-2025 02:05 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3086426,PANKAJ KUMAR PATRA,21-Sep-2025 06:06 PM,Accepted-AOC,Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3090913,RAMAKRUSHNA MOHAPATRA,21-Sep-2025 10:30 AM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3094048,SANJEEB KUMAR GHOSH,22-Sep-2025 02:34 PM,Rejected-AOC,Not Qualified,20-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
