Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",Nil,Nil,No,1.0,ICICI BANK,Additional Chief Engineer,"O/o ACE, Eastern Circle II, Chandikhole","ACE, EC-II AKPD 02 of 2025-26 Restoration to OAE No.8B on Genguti left from Kali Bazar to Dobal.",Embankment protection work,Please refer Tender documents. ,NA ,"2,00,35,711",Civil Works - Others,NA ,Tender,90.0,180.0,Akhuapada,756122.0,NA ,NA ,NA ,"O/o ACE, Eastern Circle II, Chandikhole",No ,No,17-Apr-2025 09:00 AM,01-May-2025 11:30 AM,17-Apr-2025 09:00 AM,30-Apr-2025 05:00 PM,17-Apr-2025 09:00 AM ,22-Apr-2025 05:00 PM ,17-Apr-2025 09:00 AM,30-Apr-2025 05:00 PM,21-Jul-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,"e Procurement Notice No.ACE, EC-II 01 of 2025-26",2025_ECCHA_112499_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"2,00,400",Yes,fixed,,Nil,Nil,AOC,1,2902359,ABHISEK ASIM KUMAR,30-Apr-2025 03:54 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,18-Nov-2025,"INR 17,032,357.67",180.0,PRANAB KUMAR NAYAK,18-Nov-2025 03:50 PM,AKPD02.pdf (852.00 KB),Contract Awarded,Finance,Uploaded Financial bid documents have been downloaded successfully.,PRANAB KUMAR NAYAK,21-Jul-2025 12:12 PM,,BOQ Comparative Chart,"Additional Chief Engineer, Eastern Circle II",Internal,"Asst to ACEEC II Chandikhole, Superintending Engineer DAO and Estimator Akhuapada Irrigation Division",PRANAB KUMAR NAYAK,19-Jul-2025 06:12 PM,21-Jul-2025 10:00 AM,techsummary_536839.pdf (3206.27 KB),"Additional Chief Engineer, Eastern Circle II Chandikhole",Internal,"Asst to ACEECII Chandikhole, DAO, Estimator and Superintending Engineer Akhuapada Irrigation Division",PRANAB KUMAR NAYAK,16-Sep-2025 01:11 PM,finsummary_536839.pdf (224.14 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,2025_ECCHA_112499_5,"e Procurement Notice No.ACE, EC-II 01 of 2025-26","ACE, EC-II AKPD 02 of 2025-26 Restoration to OAE No.8B on Genguti left from Kali Bazar to Dobal.",Technical,Uploaded documents of all the participated bidders have been downloaded successfully.,Sarat Chandra Ghadei,01-May-2025 02:11 PM,technical_536839.pdf,1.0,2893005.0,BHARAT BHUSAN JENA,INR,"17,032,357.67",AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,AOC,2,2900969,AJAYA KUMAR BISWAL,29-Apr-2025 06:50 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC,3,2901923,ALOKNATH PATI,30-Apr-2025 01:47 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2901758,AMIT KUMAR MAHAPATRA,30-Apr-2025 01:07 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2892172,ANANTA PRASAD MALIK,28-Apr-2025 07:17 AM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2894051,ANIL KUMAR BISWAL,25-Apr-2025 08:37 AM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2891953,ANSUMAN MOHAPATRA,23-Apr-2025 09:26 AM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2901372,ARCHITA PATRI,30-Apr-2025 01:31 AM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2899030,ARUNA JENA,28-Apr-2025 09:20 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2900838,ARUN KUMAR PATRA,29-Apr-2025 05:29 PM,Rejected-Finance,Does not satisfy as per DTCN,16-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
