S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3002959.0,M/S. SANJAYA KUMAR KANDI,INR,"7,789,569",Superintending Engineer,Internal,SE DAO AEE JE,Radhakanta Bhuyan,15-Nov-2025 03:26 PM,finsummary_546224.pdf (806.14 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-JAGATSINGPUR,2025_EICCL_115657_1,NOTICE NO.S.E. JSP (R-B)-05 OF 2025-26,"Renovation of District Court Building at Charchika Bazar,Jagatsinghpur for the year 2025-26.",Technical,Total One hundred Nine Bidders are Admitted,Biswajit Sahoo,19-Aug-2025 04:30 PM,,Finance,All one hundred eight Bidders are Admitted,Radhakanta Bhuyan,15-Nov-2025 01:43 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,S.E DAO AEE JEE,Radhakanta Bhuyan,12-Sep-2025 12:53 PM,15-Sep-2025 11:00 AM,techsummary_546224.pdf (241.35 KB),15-Nov-2025,"INR 7,789,569",120.0,Radhakanta Bhuyan,15-Nov-2025 03:44 PM,courtbuilding.pdf (806.00 KB),DOC 31.10.2025 Doc 28.02.2026,1,3013053,ABHINASH JENA,26-Jul-2025 09:09 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,"Renovation of District Court Building at Charchika Bazar,Jagatsinghpur for the year 2025-26.","Renovation of District Court Building at Charchika Bazar,Jagatsinghpur for the year 2025-26.",Please refer Tender documents. ,NA ,"91,63,120",Civil Works - Buildings,NA ,Tender,90.0,120.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,Jagatsinghpur R and B Division Office,No ,No,"10,000",0.0,Nil,Nil,No,Superintending Engineer,Office of the Superintending Engineer Jagatsinghpur R and B Division Jagatsinghpur,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,16-Jul-2025 05:00 PM,29-Jul-2025 11:00 AM,16-Jul-2025 05:00 PM,28-Jul-2025 05:00 PM,NA ,NA ,16-Jul-2025 05:00 PM,28-Jul-2025 05:00 PM,15-Sep-2025 11:00 AM,1.0,ICICI BANK,1.0,changework name of Uploded BOQ,Other,,"91,631",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-JAGATSINGPUR,NOTICE NO.S.E. JSP (R-B)-05 OF 2025-26,2025_EICCL_115657_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3007607,AJANTA ENTERPRISES,21-Jul-2025 06:56 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Check List,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3012677,AKSHAYA KUMAR SETH,26-Jul-2025 02:41 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3012630,ALOKA SAMANTARAY,26-Jul-2025 01:37 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3014309,AMULYA KUMAR JENA,28-Jul-2025 11:41 AM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3012552,ANANDA KABU,28-Jul-2025 12:37 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3010371,ANIL KUMAR DASH,23-Jul-2025 07:55 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3013523,ANSUMAN BHUYAN,27-Jul-2025 02:07 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3013123,ANSUMAN GURUDATTA MOHANTY,27-Jul-2025 07:45 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3012321,ANUPAM SWAIN,25-Jul-2025 10:15 PM,Rejected-Finance,Disqualified due to unsuccessful of Lottery,15-Nov-2025 03:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
