Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
Er. Manash Kumar Pradhan,Internal,,Manash Kumar Pradhan,25-Sep-2025 04:37 PM,techsummary_549297.pdf (1538.91 KB),16-Nov-2025,"INR 1,246,079.12",90.0,Manash Kumar Pradhan,10-Nov-2025 01:28 PM,SananaiWO.pdf (483.00 KB),1,3048043,HADIBANDHU HANSDAH (S.T),25-Aug-2025 02:13 PM,Rejected-AOC,Unsuccessful in Lottery,10-Nov-2025 01:29 PM,Finance,4 nos. bidders participated,Manash Kumar Pradhan,03-Sep-2025 05:38 PM,,BOQ Comparative Chart,1.0,3045239.0,Umakanta Sethy Sibanshi Enterprises,INR,"1,059,291.86","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Jashipur",2025_CEMIB_116883_9,SE 03/MID JSP/2025-26,Improvement to Sananai MIP in Jashipur Block of Mayurbhanj District under Critical Grant for the year 2025-26,Er. Manash Kumar Pradhan,Internal,,Manash Kumar Pradhan,25-Sep-2025 04:41 PM,finsummary_549297.pdf (1538.91 KB),AOC,"12,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST, PAN, Contractor RC, Affidavit, No Litigation, No relation Certificate and any other documents",Improvement to Sananai MIP in Jashipur Block of Mayurbhanj District under Critical Grant for the year 2025-26,Improvement to Sananai MIP in Jashipur Block of Mayurbhanj District under Critical Grant for the year 2025-26,D and C Class ,NA ,"12,46,079",Civil Works - Canal,NA ,Tender,90.0,90.0,Jashipur,757034.0,NA ,NA ,NA ,O/o The SE M.I.Division Jashipur,No ,No,16-Aug-2025 10:00 AM,26-Aug-2025 11:00 AM,16-Aug-2025 10:00 AM,25-Aug-2025 05:00 PM,16-Aug-2025 10:00 AM ,25-Aug-2025 05:00 PM ,16-Aug-2025 10:00 AM,25-Aug-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Jashipur",SE 03/MID JSP/2025-26,2025_CEMIB_116883_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,SE M.I.Division Jashipur,O/o The SE M.I.Division Jashipur,AOC
,,,,,,,,,,,,2,3048251,NARAYAN SAHOO,25-Aug-2025 03:12 PM,Rejected-AOC,Unsuccessful in Lottery,10-Nov-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,Bill Of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,3,3046347,SUBHASMITA SAMANTARAY,24-Aug-2025 12:49 PM,Rejected-AOC,Unsuccessful in Lottery,10-Nov-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3045239,Umakanta Sethy Sibanshi Enterprises,23-Aug-2025 12:33 PM,Accepted-AOC,Lottery Winner,10-Nov-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
