Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION,"O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION BARGARH, AT-NEAR GOVT BUS STAND INFRONT OF WOMENS COLLEGE BARGARH","Repair and Renovation of existing District Training Centre (DTC) building of CDVO, Bargarh for the year 2025-26",BUILDING WORK (CIVIL AND EI),PLEASE REFER THE TENDER DOCUMENTS ,NA ,"12,49,369",Civil Works - Buildings,NA ,Tender,90.0,90.0,BARGARH,768028.0,NA ,NA ,NA ,O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, Bid Declaration Form, GSTIN, PAN, EPF, ESI, Affidavit and other DOC as per DTCN",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,IFB-SE PWD-08 OF 2025-26,2025_EICCL_117375_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,26-Aug-2025 04:30 PM,09-Sep-2025 11:30 AM,26-Aug-2025 04:30 PM,08-Sep-2025 05:00 PM,26-Aug-2025 04:30 PM ,08-Sep-2025 05:00 PM ,26-Aug-2025 04:30 PM,08-Sep-2025 05:00 PM,22-Sep-2025 09:00 AM,"6,000",0.0,Nil,Nil,No,"12,494",Yes,fixed,,Nil,Nil,AOC,Technical,Total No. of 11 nos bidder accepted for technical evaluation process.,Umesh Chandra Bhoi,09-Sep-2025 12:09 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2025_EICCL_117375_2,IFB-SE PWD-08 OF 2025-26,"Repair and Renovation of existing District Training Centre (DTC) building of CDVO, Bargarh for the year 2025-26",ARUN KUMAR PANDEY,Internal,,Arun Kumar Pandey,07-Nov-2025 06:29 PM,finsummary_550547.pdf (351.47 KB),1.0,3069200.0,BIRAJ TIRKEY,INR,"1,062,089",1,3065636,AJIT KUMAR SAHU,06-Sep-2025 01:15 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,07-Nov-2025,"INR 1,062,089",90.0,Arun Kumar Pandey,07-Nov-2025 06:33 PM,AOCCDVOBARGARH.pdf (351.00 KB),ARUN KUMAR PANDEY,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3-UMESH CHANDRA BHOI,Arun Kumar Pandey,20-Sep-2025 08:52 PM,22-Sep-2025 09:00 AM,techsummary_550547.pdf (328.04 KB),Finance,Total No. of 11 nos bidder accepted for financial evaluation process.,Umesh Chandra Bhoi,22-Sep-2025 11:38 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3064054,BIBHUTI BHUSAN DASH,05-Sep-2025 11:22 AM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3065424,Binay Sharma,06-Sep-2025 12:42 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3067117,BINOD KUMAR SAHU,07-Sep-2025 01:19 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3069200,BIRAJ TIRKEY,08-Sep-2025 02:58 PM,Accepted-AOC,WORK AWARDED BY TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3068765,DEVI PRASAD MOHAPATRA,08-Sep-2025 01:37 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3068108,LAKSHAPATI MAHANANDA,08-Sep-2025 10:24 AM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3063344,M/s Prachi Construction,04-Sep-2025 07:01 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3063178,NIRUPAMA HOTA,04-Sep-2025 11:59 AM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3069566,RAJA SUNA,08-Sep-2025 04:48 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,3068423,RONIT KUMAR BARAI,08-Sep-2025 12:12 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,07-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,AOC
