S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2880398.0,SANTOSH KUMAR SWAIN,INR,"475,369",Finance,total twenty one nos of bidders found in bidding........,ALAK KUMAR ANUGULIA,26-Jul-2025 08:02 AM,,BOQ Comparative Chart,Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality A.E Umerkote Municipality Accountant Umerkote Municipality,Aswini Kumar Patnaik,20-Oct-2025 04:56 PM,finsummary_534819.pdf (1713.72 KB),Municipal Bodies||Umerkote Municipality,2025_ORULB_112070_1,UKTM-MUN- 01/2025-26(44),Construction of CC Drain With Cover Slab from Pakulu Gond house to Behera house Bhaluguda in Ward No 11,Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,ALAK KUMAR ANUGULIA,26-Jul-2025 04:27 PM,techsummary_534819.pdf (14371.10 KB),29-Oct-2025,"INR 475,369",60.0,Aswini Kumar Patnaik,17-Nov-2025 12:10 PM,AOC.pdf (437.00 KB),LOA issued in favour of SANTOSH KUMAR SWAIN as he is qualified as L1 bidder...,1,2881096,ABRAHAM KOCHIM,10-Apr-2025 06:31 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,1.0,ICICI BANK,Construction of CC Drain With Cover Slab from Pakulu Gond house to Behera house Bhaluguda in Ward No 11,Civil Work,Please refer to Tender Documents ,NA ,,Civil Works - Others,Drain ,Tender,180.0,60.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,02-Apr-2025 10:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,"5,592",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc...",Executive Officer,Umerkote Municipality,Municipal Bodies||Umerkote Municipality,UKTM-MUN- 01/2025-26(44),2025_ORULB_112070_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2881355,AJAYA KUMAR BEHERA,10-Apr-2025 09:57 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2880343,ALEKHA CHANDRA MOHANTY,10-Apr-2025 01:22 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2881201,BINOD KUMAR MOHANTY,10-Apr-2025 08:30 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2881438,DHANMAT GANDA,10-Apr-2025 09:48 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2881313,DILIP BISWAS,11-Apr-2025 07:29 AM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2880168,HATIA ROUT,10-Apr-2025 08:53 AM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2877068,KUSHA SAHU,06-Apr-2025 12:16 PM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2881559,MAHAMMAD SARUK,11-Apr-2025 03:51 AM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2881583,MOHAMMAD WASHIQ LATHIYA,11-Apr-2025 02:38 AM,Rejected-Finance,L2 bidder,20-Oct-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
