S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,2869505.0,RANJAN CHANDRA MOHANTY,INR,"532,985.36",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_38,BM_06_2024_25,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM PRAVAKAR BEHERA HOUSE TO MANARANJAN JENA HOUSE AT SOVARAMPUR IN WARD NO_20,1,2869495,PRASANNA KUMAR BRAHMA,26-Mar-2025 04:29 PM,Rejected-Finance,L1,10-Nov-2025 06:34 PM,10-Nov-2025,"INR 484,576",60.0,Pradeep Kumar Nayak,10-Nov-2025 06:36 PM,WO0638.pdf (1361.00 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 02:25 PM,,BOQ Comparative Chart,EO ME CP AE AEE,Internal,,Pradeep Kumar Nayak,10-Nov-2025 06:34 PM,finsummary_533158.pdf (1077.69 KB),EO ME CP AE AEE,Internal,,Pradeep Kumar Nayak,10-Nov-2025 06:32 PM,techsummary_533158.pdf (1077.69 KB),AOC,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,1,ICICI BANK,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM PRAVAKAR BEHERA HOUSE TO MANARANJAN JENA HOUSE AT SOVARAMPUR IN WARD NO_20,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM PRAVAKAR BEHERA HOUSE TO MANARANJAN JENA HOUSE AT SOVARAMPUR IN WARD NO_20,Please refer Tender documents. ,NA ,"4,84,576",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"4,846",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,REVISED DTCN,Technical Bid,,AOC
,,,,,,,,,2,2869505,RANJAN CHANDRA MOHANTY,26-Mar-2025 04:33 PM,Accepted-AOC,WO,10-Nov-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,AOC
