Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Sarat Chandra Ghadei,20-Jul-2023 02:51 PM,techsummary_440465.pdf (208.84 KB),1,2159776,ABHIMANYU JENA,14-Jun-2023 08:35 AM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,01-Nov-2025,"INR 865,336.93",180.0,Ratnakar Dalai,01-Nov-2025 03:58 PM,JJPR_27.pdf (303.00 KB),Contract Awarded,1.0,2160695.0,SUDHAKAR NAYAK,INR,"865,336.93",Finance,Tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,23-Jun-2023 09:06 PM,finance_440465.pdf,BOQ Comparative Chart,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Sarat Chandra Ghadei,20-Jul-2023 03:47 PM,finsummary_440465.pdf (250.44 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2023_CDJID_89671_27,e-Procurement Notice No.04 / 2023-24,JJPR-27/23-24 Restoration to 1E Disty of Jajpur Canal System from RD 00KM to 10.660KM,AOC,07-Jun-2023 10:00 AM,23-Jun-2023 11:30 AM,07-Jun-2023 10:00 AM,22-Jun-2023 05:00 PM,07-Jun-2023 10:00 AM ,13-Jun-2023 05:00 PM ,07-Jun-2023 10:00 AM,22-Jun-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, Contractor Registration Certificate",Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",1.0,ICICI BANK,1.0,1st Corrigendum,Date,,JJPR-27/23-24 Restoration to 1E Disty of Jajpur Canal System from RD 00KM to 10.660KM,Canal improvement work,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.04 / 2023-24,2023_CDJID_89671_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,200",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC
,,,,,,2,2161411,BIKASH SAHOO,17-Jun-2023 08:15 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,2160827,BIREN KUMAR MOHANTY,19-Jun-2023 11:28 AM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2160111,DIPAK RANJAN PARIDA,14-Jun-2023 08:18 AM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2160073,LAXMIDHAR SAHOO,13-Jun-2023 11:22 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2164073,M/S ARUN KUMAR JENA,20-Jun-2023 12:13 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2161431,M/S PANDA ENTERPRISERS,19-Jun-2023 02:21 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2160823,M/S PRAFULLA KUMAR NAYAK,18-Jun-2023 06:44 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2161172,M/S UPENDRA PARIDA,20-Jun-2023 06:47 PM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2165652,NAMITA PARIDA,22-Jun-2023 09:50 AM,Rejected-Finance,Did not win the lottery,20-Jul-2023 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
