Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Repair and Improvement of road from Pramod Behera res to Ananta Mohanty res at Netaji Nagar in Ward No.50.,Repair and Improvement of road from Pramod Behera res to Ananta Mohanty res at Netaji Nagar in Ward No.50.,Please refer Tender documents. ,NA ,"3,03,722",Civil Works - Others,NA ,Tender,75.0,60.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"Executive Engineer,Div-I","Bikash Bhawan,Jagannath Lane,Badambadi-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,VAT,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN.","2,000",0.0,"Municipal Commissioner ,C.M.C",Cuttack,No,"3,100",Yes,fixed,,"Municipal Commissioner ,C.M.C",Cuttack,04-Feb-2019 12:15 PM,18-Feb-2019 10:00 AM,04-Feb-2019 12:15 PM,14-Feb-2019 05:00 PM,04-Feb-2019 12:15 PM ,14-Feb-2019 05:00 PM ,04-Feb-2019 12:15 PM,14-Feb-2019 05:00 PM,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.21/2019-20,2019_ORULB_52629_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC,1,1069252,BICHITRA NANDA BEHERA,14-Feb-2019 02:29 PM,Rejected-AOC,Rejected,15-Nov-2025 04:18 PM,15-Nov-2025,"INR 279,454.37",60.0,Antarjyamee Patra,15-Nov-2025 04:18 PM,chat.pdf (386.00 KB),wo,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,15-Nov-2025 04:11 PM,finsummary_287202.pdf (386.50 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Manish Sarker,21-Feb-2019 03:20 PM,finance_287202.pdf,BOQ Comparative Chart,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,15-Nov-2025 03:40 PM,techsummary_287202.pdf (386.50 KB),1.0,1061715.0,PITAMBER MALIK,INR,"279,454.37",Municipal Bodies||Cuttack Municipal Corporation,2019_ORULB_52629_8,MC(CMC)CTC_Div-I_No.21/2019-20,Repair and Improvement of road from Pramod Behera res to Ananta Mohanty res at Netaji Nagar in Ward No.50.,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,1061715,PITAMBER MALIK,08-Feb-2019 06:18 PM,Accepted-AOC,Accepted,15-Nov-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
