S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2938138.0,NARAYAN PRUSTY,INR,"1,499,940",Finance,Summary,Jyoti Ranjan Pati,19-Jun-2025 01:28 PM,finance_539611.pdf,BOQ Comparative Chart,SE,Internal,SE DAO 1,Chhabi Prava Sahu,24-Nov-2025 01:05 PM,finsummary_539611.pdf (251.62 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,2025_EICCL_113471_3,SE CTC (RnB)-II -02 of 2025-26,SR to Banki Baideswar Kalapathar road for the year 2025 26 Such asconstruction of RCC Drain at 0 400km in NAC area,SE,Internal,,Jyoti Ranjan Pati,19-Jun-2025 01:34 PM,techsummary_539611.pdf (154.78 KB),24-Nov-2025,"INR 1,504,618",60.0,Chhabi Prava Sahu,24-Nov-2025 01:09 PM,AOC.pdf (303.00 KB),1,2937777,DHEERAJ PATTNAIK,28-May-2025 01:39 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,SE CUTTACK RANDB DIV II,SE CUTTACK RANDB DIV II OMP SQUARE CUTTACK,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,16-May-2025 02:00 PM,29-May-2025 11:00 AM,16-May-2025 02:00 PM,28-May-2025 05:00 PM,NA ,NA ,16-May-2025 02:00 PM,28-May-2025 05:00 PM,SR to Banki Baideswar Kalapathar road for the year 2025 26 Such asconstruction of RCC Drain at 0 400km in NAC area,SR to Banki Baideswar Kalapathar road for the year 2025 26 Such asconstruction of RCC Drain at 0 400km in NAC area,AS PER DTCN ,NA ,,Civil Works - Roads,NA ,Tender,90.0,60.0,BANKI,754008.0,NA ,NA ,NA ,SE CUTTACK RANDB DIV II,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,SE CTC (RnB)-II -02 of 2025-26,2025_EICCL_113471_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"15,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2937711,GANESWAR SAMAL,28-May-2025 01:29 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2938195,GURUDEV SAHOO,28-May-2025 03:15 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2937219,GURUKRUPA FILLING STATION,28-May-2025 04:37 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2938277,KASHINATH PRADHAN,28-May-2025 03:40 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2938391,MANASH PRADHAN PRO. SHREE JAGANNATH TRADERS,28-May-2025 03:57 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2938138,NARAYAN PRUSTY,28-May-2025 03:03 PM,Accepted-AOC,W,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2936754,RAKESH KUMAR NAYAK,28-May-2025 09:04 AM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2937807,SAMIR KUMAR RANA,28-May-2025 01:51 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2934680,trinath setha,28-May-2025 02:02 PM,Rejected-AOC,L,24-Nov-2025 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
