Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technicalbid_RFP_EMD_Tender_Fee,Administrative Officer SUDA,PLOT_NO_172_VIVEKANANDA_MARG_NEAR_BHUBANESWAR_MUNICIPAL_CORPORATION_OFFICE_BHUBANESWAR_751014,1.0,BOQ_Corrigendum,BOQ,,RFP_for_NUPAM,establishment_and_operationalization_of_State_Mission_Management_Unit_District_Management_Units_City_Management_Units_SMMU_DMMU_CMMU_for_NUPAM_in_the_State_Of_Odisha,Please refer Tender documents. ,NA ,,Consultancy Services,NA ,Tender,120.0,1095.0,SUDA_DISTRICT_ULB,751014.0,NA ,NA ,NA ,SUDA_Bhubaneswar,No ,No,"5,00,000",Yes,fixed,,SUDA,Bhubaneswar,28-Feb-2025 09:00 AM,10-Mar-2025 04:00 PM,28-Feb-2025 09:00 AM,10-Mar-2025 11:00 AM,28-Feb-2025 09:00 AM ,03-Mar-2025 12:00 PM ,04-Mar-2025 03:00 PM,10-Mar-2025 11:00 AM,10-Apr-2025 11:00 AM,"5,000",SUDA,Bhubaneswar,Yes,Housing and Urban Development Department||State Urban Development Agency,SUDA_NUPAM_004_2025,2025_HUDD_111201_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,AOC,28-Nov-2025,"INR 97,500,000",1095.0,Rasanta Kumar Naik,27-Nov-2025 01:21 PM,LoA_NUPAM_UP.pdf (98.00 KB),Director Municipal Administration,Internal,,Rasanta Kumar Naik,27-Nov-2025 01:02 PM,finsummary_531677.pdf (243.00 KB),Technical,Technical Bid online opened on due date and time,Rasanta Kumar Naik,10-Mar-2025 04:32 PM,,1,2844654,Grant Thornton India LLP,10-Mar-2025 10:01 AM,Accepted-AOC,Accepted,27-Nov-2025 01:22 PM,Finance,Financial Bid opened as per schedule,Rasanta Kumar Naik,10-Apr-2025 11:14 AM,,BOQ Comparative Chart,Housing and Urban Development Department||State Urban Development Agency,2025_HUDD_111201_1,SUDA_NUPAM_004_2025,RFP_for_NUPAM,1.0,2844654.0,Grant Thornton India LLP,INR,"97,500,000",Director_Municipal_Administration,Internal,FA_cum_Additional_Secretary_HUDD_Additional_Secretary_cum_PD_SUDA_HUDD_AFA_cum_Under_Secretary_HUDD_Sr_Procurement_Specialist_HUDD,Rasanta Kumar Naik,09-Apr-2025 02:16 PM,10-Apr-2025 11:00 AM,techsummary_531677.pdf (201.50 KB),AOC
2.0,Finance,.xls,Financial_Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,2,2848394,NABARD Consultancy Services Pvt Ltd,10-Mar-2025 10:30 AM,Rejected-Technical,Technically not Qualified,09-Apr-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,2844689,Nangia & Co LLP,09-Mar-2025 09:06 PM,Rejected-Technical,Technically not Qualified,09-Apr-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,2846663,XEAM VENTURES PRIVATE LIMITED,08-Mar-2025 03:46 PM,Rejected-AOC,Rejected,27-Nov-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
