Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DOCs AS PER DTCN,EXECUTIVE OFFICER NOTIFIED AREA COUNCIL BINKA,NAC BINKA CAMPUS,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"17,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Binka NAC,BINKA-NAC-05/2025-26,2025_ORULB_118960_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-03),Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-03),Please refer Tender documents. ,NA ,"16,93,194",Civil Works - Roads,NA ,Tender,120.0,45.0,BINKA,767019.0,NA ,NA ,NA ,NOTIFIED AREA COUNCIL BINKA,No ,No,05-Oct-2025 11:00 AM,16-Oct-2025 11:00 AM,05-Oct-2025 11:00 AM,15-Oct-2025 05:00 PM,05-Oct-2025 11:00 AM ,15-Oct-2025 05:00 PM ,05-Oct-2025 11:00 AM,15-Oct-2025 05:00 PM,AOC,CHAIRPERSON NAC BINKA,Internal,EXECUTIVE OFFICER MUNICIPAL ENGINEER ASSISTANT ENGINEER JUNIOR ENGINEER ACCOUNTANT,Manash Ranjan Bhoi,25-Nov-2025 12:14 PM,finsummary_554674.pdf (539.89 KB),CHAIRPERSON NAC BINKA,Internal,EXECUTIVE OFFICER MUNICIPAL ENGINEER ASSISTANT ENGINEER JUNIOR ENGINEER ACCOUNTANT,Manash Ranjan Bhoi,25-Nov-2025 12:04 PM,techsummary_554674.pdf (539.89 KB),28-Nov-2025,"INR 1,439,385",45.0,Manash Ranjan Bhoi,28-Nov-2025 02:46 PM,10.pdf (520.00 KB),1,3129667,BABITA AGRAWAL,15-Oct-2025 04:16 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,Municipal Bodies||Binka NAC,2025_ORULB_118960_10,BINKA-NAC-05/2025-26,Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-03),1.0,3126405.0,KIRAN KUMAR MOHANTY,INR,"1,439,385",Finance,BIDS HAVE BEEN OPENED,Manash Ranjan Bhoi,17-Nov-2025 12:19 PM,finance_554674.pdf,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3128067,BIKRAM TRIPATHY,14-Oct-2025 05:37 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3116059,Dukhanasana Sethi,13-Oct-2025 10:40 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3126405,KIRAN KUMAR MOHANTY,15-Oct-2025 01:25 PM,Accepted-AOC,SELECTED IN LOTTERY,28-Nov-2025 02:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3129350,Manoj Kumar Panda,15-Oct-2025 01:57 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3129275,M/s SHREE CONSTRUCTION,15-Oct-2025 01:36 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3124047,NANDIGHOSH PANDA,15-Oct-2025 02:57 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,28-Nov-2025 02:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3128534,PRAMOD KUMAR SAHU,15-Oct-2025 09:13 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3129145,PURNA CHANDRA SAHU,15-Oct-2025 12:54 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3123657,Puspalata Kar,11-Oct-2025 08:22 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 12:14 PM,,,,,,,,,,,,,,,,AOC
