Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Papercost, EMD,Contractor license,Affidavit,PAN,GSTIN and other document as per DTCN",22-Jul-2025 05:00 PM,06-Aug-2025 11:00 AM,22-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,22-Jul-2025 05:00 PM ,05-Aug-2025 05:00 PM ,22-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,25-Aug-2025 11:00 AM,1.0,ICICI BANK,"O/o Project Administrator, ITDA, Gunupur","O/o Project Administrator, ITDA, Gunupur",Construction of Dormitory with Bathroom and toilet at Gadiabang SEVASHRAM under Gunupur Block,Construction of Dormitory with Bathroom and toilet at Gadiabang SEVASHRAM under Gunupur Block,Please refer Tender documents. ,NA ,"56,03,365",Civil Works - Buildings,NA ,Tender,90.0,270.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,"10,000",0.0,Nil,Nil,No,"56,034",Yes,percentage,1.0%,Nil,Nil,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-01/2025-26,2025_STSCD_115810_35,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Technical Evalation,Ajaya Kumar Pradhan,24-Aug-2025 09:55 AM,technical_546863.pdf,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,15-Nov-2025 04:49 PM,finsummary_546863.pdf (1840.95 KB),Finance,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,15-Nov-2025 04:44 PM,finance_546863.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,24-Aug-2025 09:58 AM,25-Aug-2025 11:00 AM,techsummary_546863.pdf (184.37 KB),15-Nov-2025,"INR 4,763,374.71",270.0,Ajaya Kumar Pradhan,15-Nov-2025 04:56 PM,workorder.pdf (589.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_115810_35,ITDAGNP-01/2025-26,Construction of Dormitory with Bathroom and toilet at Gadiabang SEVASHRAM under Gunupur Block,1.0,3011829.0,P.Yogeswer Rao,INR,"4,763,374.71",1,3022502,ABHISHEK SAHU,05-Aug-2025 10:35 AM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3023542,BASUDEB DAS,04-Aug-2025 07:30 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3023785,NIRANJAN DASH,05-Aug-2025 01:16 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3017815,pradeep kumar patro,30-Jul-2025 02:00 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3011829,P.Yogeswer Rao,30-Jul-2025 10:36 AM,Accepted-AOC,Awarded to Lowest 1,15-Nov-2025 04:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3020340,RAGHUNATH KONDAGORI,02-Aug-2025 04:30 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3022875,RAKESH KUMAR CHOUDHURY,04-Aug-2025 01:47 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3015732,RAMA KRUSHNA PANIGRAHI,28-Jul-2025 07:41 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023465,SIBASIS SAHU,05-Aug-2025 12:23 AM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3021335,T Umamaheswar Rao,02-Aug-2025 06:57 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Nov-2025 04:49 PM,AOC
