Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,SE M.I.Division Ganjam II Berhampur,"SE M.I.Division Ganjam II Berhampur, Infront of Depaul School , Engg School Road Berhampur Pin 760010","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",GMID-II/05/2025-26,2025_CEMIB_117559_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of Valid RC GSTN PAN affidavit and other document as per DTCN,1.0,ICICI BANK,02-Sep-2025 10:00 AM,12-Sep-2025 11:30 AM,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,NA ,NA ,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,"10,200",Yes,fixed,,Nil,Nil,Improvement to Pathuriaghai Manapalli MIP in Khallikote block under Critical Grant 2025_26,Improvement to Pathuriaghai Manapalli MIP in Khallikote block under Critical Grant 2025_26,Please refer Tender documents. ,NA ,"10,17,000",Civil Works - Others,NA ,Tender,90.0,90.0,SE M.I.Division Ganjam II Berhampur,760010.0,NA ,NA ,NA ,SE M.I.Division Ganjam II Berhampur,No ,No,AOC,21-Nov-2025,"INR 1,019,708",90.0,Simachala Satapathy,21-Nov-2025 01:53 PM,PathuriaghaiManapali.pdf (291.00 KB),1,3075100,ABHAYA KUMAR SETHY,10-Sep-2025 09:36 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,21-Nov-2025 01:46 PM,techsummary_550956.pdf (201.74 KB),SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,21-Nov-2025 01:49 PM,finsummary_550956.pdf (201.74 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_117559_5,GMID-II/05/2025-26,Improvement to Pathuriaghai Manapalli MIP in Khallikote block under Critical Grant 2025_26,1.0,3075562.0,MINAKSHI LENKA,INR,"1,019,708",Finance,-,SUDHA KIRAN PADHI,20-Sep-2025 01:35 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3075845,ASHOK KUMAR PRADHAN,11-Sep-2025 12:15 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3075143,Babula Sethy,10-Sep-2025 10:14 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3074480,GANESWAR MISHRA,10-Sep-2025 04:41 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3076159,JOGINDRA PALLEI,11-Sep-2025 01:50 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3075954,Judhishthir Pradhan,11-Sep-2025 12:45 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3075563,KRISHNA MOHAN GHOSH,11-Sep-2025 10:59 AM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3072648,MAMATA KUMARI SATAPATHY,09-Sep-2025 07:17 PM,Rejected-AOC,-,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3075562,MINAKSHI LENKA,11-Sep-2025 11:45 AM,Accepted-AOC,winner,21-Nov-2025 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3069075,MITHUNA PRADHAN,08-Sep-2025 07:02 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others--,20-Sep-2025 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
