Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,11no. of bidders are found and all are valid,PRANAB KUMAR BEHERA,25-Sep-2025 11:33 AM,finance_550832.pdf,BOQ Comparative Chart,1.0,3077690.0,ISRAEL KHAN,INR,"1,686,836",Odisha State Agricultural Marketing Board||RMC Banki,2025_OSAMB_117495_1,RMC/BANKI-01/ 2025-26,"Repair and Renovation of existing infrastructure at 5(five)Branches of Banki C.C.B. Ltd,Banki under R.M.C. Banki",CHAIRMAN,Internal,SECRETARY AEE JE,PRANAB KUMAR BEHERA,06-Nov-2025 11:49 AM,finsummary_550832.pdf (844.64 KB),CHAIRMAN,Internal,SECRETARYAEEJEE,PRANAB KUMAR BEHERA,06-Nov-2025 11:43 AM,techsummary_550832.pdf (1859.27 KB),1,3077614,ASHISH KUMAR SAHOO,12-Sep-2025 02:19 PM,Rejected-Finance,By Lot,06-Nov-2025 11:49 AM,06-Nov-2025,"INR 1,686,836",60.0,PRANAB KUMAR BEHERA,06-Nov-2025 11:54 AM,AOCC.pdf (648.00 KB),Work Order Vide Letter No404 dtd 23.10.2025,AOC,"Repair and Renovation of existing infrastructure at 5(five)Branches of Banki C.C.B. Ltd,Banki under R.M.C. Banki","Repair and Renovation of 5(five)Branches of Banki C.C.B. Ltd,Banki under R.M.C. Banki",Please refer Tender documents. ,NA ,"19,84,279",Civil Works - Others,NA ,Tender,180.0,60.0,Banki/Athgarh Sub-Division,754008.0,NA ,NA ,NA ,Banki,No ,No,1.0,ICICI BANK,Odisha State Agricultural Marketing Board||RMC Banki,RMC/BANKI-01/ 2025-26,2025_OSAMB_117495_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Sub-Collector,Banki-cum-Chairman,R.M.C.Banki","At/PO.-Banki,Dist.-Cuttack,PIN-754008",03-Sep-2025 11:00 AM,15-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,12-Sep-2025 05:00 PM,NA ,NA ,03-Sep-2025 11:00 AM,12-Sep-2025 05:00 PM,"19,843",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3077690,ISRAEL KHAN,12-Sep-2025 04:02 PM,Accepted-AOC,By Lot,06-Nov-2025 11:54 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3077514,JAGANNATH SWAIN,12-Sep-2025 01:33 PM,Rejected-Finance,By Lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3077655,KASHINATH PRADHAN,12-Sep-2025 02:49 PM,Rejected-Finance,By Lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3077512,MANASH PRADHAN PRO. SHREE JAGANNATH TRADERS,12-Sep-2025 01:30 PM,Rejected-Finance,By lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077732,MONALISA SAHOO,12-Sep-2025 03:37 PM,Rejected-Finance,By lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3077412,M/s BIJU MOHAPATRA,12-Sep-2025 12:55 PM,Rejected-Finance,By lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3077580,M/S. RAJ RIYANSH CONSTRUCTIONS,12-Sep-2025 01:55 PM,Rejected-Finance,By Lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3077282,M/S SUBASH CHANDRA PATTANAIK,12-Sep-2025 12:45 PM,Rejected-Finance,By lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3077776,PABITRA MOHAN MOHAPATRA,12-Sep-2025 04:03 PM,Rejected-Finance,By Lot,06-Nov-2025 11:49 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
