Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,PAN GSTIN ATO affidavit agreement as per DTCN,"96,340",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 03,2025_CERWI_116196_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,29-Jul-2025 11:00 AM,13-Aug-2025 11:30 AM,29-Jul-2025 11:00 AM,12-Aug-2025 05:00 PM,29-Jul-2025 11:00 AM ,11-Aug-2025 05:00 PM ,29-Jul-2025 11:00 AM,12-Aug-2025 05:00 PM,26-Aug-2025 11:00 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Construction of Weir (5 x 8.77mtr) on Bridge over Local Nallah at 2nd Km on Kherna to Saraspada Road,Construction of Weir (5 x 8.77mtr) on Bridge over Local Nallah at 2nd Km on Kherna to Saraspada Road,NA ,NA ,"96,33,242",Civil Works - Bridges,NA ,Tender,90.0,182.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,AOC,10-Nov-2025,"INR 8,189,219",182.0,Sanjeet Kumar Naik,10-Nov-2025 11:46 AM,5743.pdf (419.00 KB),1,3032965,AJAY KUMAR SETHI,12-Aug-2025 12:21 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,25-Aug-2025 12:48 PM,26-Aug-2025 11:00 AM,techsummary_547675.pdf (267.36 KB),Finance,open,Sanjeet Kumar Naik,10-Nov-2025 11:32 AM,finance_547675.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_116196_1,RD 03,Construction of Weir (5 x 8.77mtr) on Bridge over Local Nallah at 2nd Km on Kherna to Saraspada Road,Technical,open,Sanjeet Kumar Naik,25-Aug-2025 12:44 PM,technical_547675.pdf,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,10-Nov-2025 11:40 AM,finsummary_547675.pdf (418.83 KB),1.0,3032804.0,NIBEDITA BEHERA,INR,"8,189,219",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3033082,ASISHRANJAN SETHI,12-Aug-2025 12:55 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3033604,BARENDRA KRISHNA MATAGAJSINGH,12-Aug-2025 04:22 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3033383,BISHWARANJAN SALANGI,12-Aug-2025 03:30 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3033217,BRAJA KISHORE MOHANTA,12-Aug-2025 04:30 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3030305,DIBYAKANTA KHUNTIA,12-Aug-2025 10:30 AM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3033430,JAY DURGA BUILDCON PRIVATE LIMITED,12-Aug-2025 03:25 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3032804,NIBEDITA BEHERA,12-Aug-2025 11:40 AM,Accepted-AOC,Lottery winner,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3033228,Nigamananda Adhikari,12-Aug-2025 01:47 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3033525,NISHANT HEMENDRA OJHA,12-Aug-2025 04:10 PM,Rejected-AOC,Lottery,10-Nov-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
