S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1,2732890,Bonton Technomake Pvt Ltd,09-Jan-2025 02:42 PM,Rejected-Finance,Other than L1 and L2,15-Jul-2025 01:03 PM,Director(HR),Internal,"CGM(Fin), GM(CP), Advisor(Legal), Special officer Head CSR",Aditya Kumar Jena,21-Jun-2025 03:02 PM,23-Jun-2025 11:00 AM,techsummary_516710.pdf (803.19 KB),Technical,Technical opening summary,Sanjaya Kumar Sahoo,27-Jan-2025 11:14 AM,technical_516710.pdf,Director(HR),Internal,"CGM(Fin), GM(CP), Advisor(Legal), Special officer and Head CSR",Aditya Kumar Jena,15-Jul-2025 01:03 PM,finsummary_516710.pdf (742.28 KB),Orissa Mining Corporation,2024_OMC_107195_1,"OMC/E-PROC/CP/038/2024-25, Dtd 14/11/2024","Supply and Installation of Furniture for Harekrushna Mahtab State Library, Bhubaneswar, Odisha",1.0,2709992.0,DURIAN INDUSTRIES LIMITED,INR,"30,604,976",10-Nov-2025,"INR 30,604,976",120.0,Aditya Kumar Jena,10-Nov-2025 04:20 PM,LOAFurniture.pdf (396.00 KB),Awarded for the work including GST,Finance,Financial opening summary,Sanjaya Kumar Sahoo,24-Jun-2025 05:20 PM,finance_516710.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,PAN.GSTIN AND OTHER DOCUMENTS AS PER DTCN,Head(Contract and Procurement),"OMC Ltd., OMC House , Bhubaneswar",18-Nov-2024 06:55 PM,16-Jan-2025 05:00 PM,18-Nov-2024 06:55 PM,16-Jan-2025 03:00 PM,18-Nov-2024 06:55 PM ,28-Nov-2024 05:00 PM ,14-Dec-2024 11:00 AM,16-Jan-2025 03:00 PM,23-Jun-2025 11:00 AM,"11,800",0.0,Nil,Nil,Yes,1.0,Corrigendum6,Date,,"Supply and Installation of Furniture for Harekrushna Mahtab State Library, Bhubaneswar, Odisha","Supply and Installation of Furniture for Harekrushna Mahtab State Library, Bhubaneswar, Odisha",Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,120.0,"Harekrushna Mahtab State Library, Bhubaneswar",751001.0,Through VC ,Through VC ,29-Nov-2024 03:30 PM ,"OMC Ltd., OMC House , Bhubaneswar",No ,No,Orissa Mining Corporation,"OMC/E-PROC/CP/038/2024-25, Dtd 14/11/2024",2024_OMC_107195_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"8,96,000",Yes,fixed,,Nil,Nil,AOC
2,2712642,Crystal Furnitech Private Limited,30-Dec-2024 02:25 PM,Rejected-Technical,Techno-commercially Disqualified,21-Jun-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,2.0,Corrigendum 4,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
3,2702567,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,09-Jan-2025 10:16 AM,Rejected-Technical,Techno-commercially Disqualified,21-Jun-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,RATE OF GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,2709992,DURIAN INDUSTRIES LIMITED,30-Dec-2024 02:35 PM,Accepted-AOC,Awarded for the work including GST,10-Nov-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,2734494,EUROCOUSTIC PRODUCTS LIMITED,08-Jan-2025 03:31 PM,Rejected-Technical,Techno-commercially Disqualified,21-Jun-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,2714024,Geeken Seating Collection Pvt Ltd,30-Dec-2024 01:51 PM,Rejected-Finance,Other than L1 and L2,15-Jul-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,2716491,IMPRESSION FURNITURE INDUSTRIES PRIVATE LIMITED,30-Dec-2024 02:01 PM,Rejected-Finance,Other than L1 and L2,15-Jul-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,2715933,KANIKA FURNITURE PRIVATE LIMITED,29-Dec-2024 06:18 PM,Rejected-AOC,Other than L1,10-Nov-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,2717057,Ms GOLDEN WOOD PECKER,09-Jan-2025 01:09 PM,Rejected-Technical,Techno-commercially Disqualified,21-Jun-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,2711858,M/S ROYAL SAFE COMPANY KB,16-Jan-2025 01:45 PM,Rejected-Finance,Other than L1 and L2,15-Jul-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
