Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
JYOTI RANJAN DAS,Internal,,Basanta Kumar Nayak,16-Sep-2025 12:59 PM,16-Sep-2025 01:00 PM,techsummary_545256.pdf (663.21 KB),Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,2025_RWSS_115178_1,RWSS_11_2025-26,EXECUTION OF RPWS TO KANDARAPATI IN JAGANNATHPUR GP UNDER RN PUR BLOCK,1.0,3003031.0,Prasanta Kumar Gochhayat,INR,"8,188,958",Finance,DETAILS ATTACHED,Jyotiranjan Das,24-Sep-2025 12:51 PM,finance_545256.pdf,BOQ Comparative Chart,1,3004008,Ashish Kumar Behera,19-Jul-2025 01:13 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,Technical,DETAILS ATTACHED,Basanta Kumar Nayak,16-Sep-2025 12:42 PM,technical_545256.pdf,JYOTI RANJAN DAS,Internal,,Jyotiranjan Das,19-Nov-2025 03:02 PM,finsummary_545256.pdf (663.99 KB),19-Nov-2025,"INR 8,188,958",360.0,Jyotiranjan Das,19-Nov-2025 03:31 PM,PDF.pdf (2253.00 KB),DETAILS ATTACHED,AOC,1.0,ICICI BANK,08-Jul-2025 10:00 AM,21-Jul-2025 11:00 AM,08-Jul-2025 10:00 AM,19-Jul-2025 05:30 PM,08-Jul-2025 10:00 AM ,17-Jul-2025 05:30 PM ,08-Jul-2025 10:00 AM,19-Jul-2025 05:30 PM,16-Sep-2025 01:00 PM,"96,329",Yes,fixed,,Nil,Nil,EXECUTION OF RPWS TO KANDARAPATI IN JAGANNATHPUR GP UNDER RN PUR BLOCK,EXECUTION OF RPWS TO KANDARAPATI IN JAGANNATHPUR GP UNDER RN PUR BLOCK,AS PER DTCN ,NA ,"96,32,935",Civil Works - Water Works,NA ,Tender,90.0,NA ,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,754103.0,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR  ,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR  ,08-Jul-2025 11:00 AM ,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,No ,No,"10,000",0.0,Nil,Nil,No,EE RWSS DIVISION JAGATSINGHPUR,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,1.0,Fee/PreQual/Technical,.pdf,DTCN,Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,RWSS_11_2025-26,2025_RWSS_115178_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3004192,DIPTIREKHA BEHERA,19-Jul-2025 03:29 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3003445,GANGADHAR SAHOO,18-Jul-2025 06:45 PM,Not Admitted-Fee/PreQual/Technical,Others-DETAILS ATTACHED,16-Sep-2025 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3004118,Laxmidhar Mallik,19-Jul-2025 03:21 PM,Not Admitted-Fee/PreQual/Technical,Others-DETAILS ATTACHED,16-Sep-2025 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3004133,MADHUSMITA CHOUDHURY,19-Jul-2025 03:47 PM,Not Admitted-Fee/PreQual/Technical,Others-DETAILS ATTACHED,16-Sep-2025 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3001241,PRADIPTA KUMAR ROUT,16-Jul-2025 04:49 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3003856,PRAKASH KUMAR SWAIN,19-Jul-2025 03:39 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3003031,Prasanta Kumar Gochhayat,18-Jul-2025 12:37 PM,Accepted-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3002846,SARADA PRASANNA MOHAPATRA,18-Jul-2025 09:48 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3003605,sudhir kumar khuntia,18-Jul-2025 09:02 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3003021,SURYANARAYAN DAS,19-Jul-2025 04:48 PM,Rejected-AOC,DETAILS ATTACHED,19-Nov-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
