Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,12 NOS OF BIDDERS HAVE PARTICIPATED,Amiya Kumar Mudali,12-Sep-2025 12:32 PM,,BOQ Comparative Chart,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",2025_CEMIB_117502_10,Online Tender /02/ GMID-I/2025-26,Improvement to Sanasara MIP Gambhariguda,1.0,3074487.0,SALINI KUMARI SAHU,INR,"2,315,881.53",1,3075748,ANITA SAHU,11-Sep-2025 12:03 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,15-Nov-2025,"INR 2,315,881.53",120.0,Amiya Kumar Mudali,20-Nov-2025 01:11 PM,32_w.PDF (774.00 KB),SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,25-Sep-2025 12:32 PM,techsummary_550848.pdf (671.52 KB),SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,25-Sep-2025 12:34 PM,finsummary_550848.pdf (671.52 KB),AOC,"6,000",0.0,Nil,Nil,No,"29,500",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",Online Tender /02/ GMID-I/2025-26,2025_CEMIB_117502_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Sep-2025 10:00 AM,12-Sep-2025 11:00 AM,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,02-Sep-2025 10:00 AM ,10-Sep-2025 05:00 PM ,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,AFFIDAVIT, NO RELATION, SCHEDULE-E, CDMS COPY OF REGISTRATION CERTIFICATE","SE MI DIVIN GM-I,BAM","SE MI DIVIN GM-I,BAM,ENGINEERING SCHOOL ROAD",1.0,ICICI BANK,Improvement to Sanasara MIP Gambhariguda,Improvement to Sanasara MIP Gambhariguda in Sanakhemundi Block under Critical Grant,Please refer Tender documents. ,NA ,"29,50,000",Civil Works - Others,NA ,Tender,90.0,120.0,Sanakhemundi,761109.0,NA ,NA ,NA ,"SE MI DIVIN GM-I,BAM",No ,No,AOC
,,,,,,,,,,,,,,,2,3072482,ARCHITA PANDA,09-Sep-2025 05:43 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3072379,GANESH PRASAD SAHU,09-Sep-2025 04:54 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3074115,GOPAL KRUSHNA SAHU,10-Sep-2025 02:29 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3073846,G PINTU DORA,10-Sep-2025 01:08 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3075840,Prasanta Kumar Sahu,11-Sep-2025 12:16 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3074487,SALINI KUMARI SAHU,10-Sep-2025 05:03 PM,Accepted-AOC,Winner in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3064882,SANTOSH PRADHAN,05-Sep-2025 07:46 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3076621,Saroj Kumar Sahu,11-Sep-2025 04:23 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3066628,Sonam Panigrahy,06-Sep-2025 09:19 PM,Rejected-AOC,Loser in transparency lottery,20-Nov-2025 01:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
