S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,19-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,19-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,NA ,NA ,19-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,"6,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Athgarh NAC,ATH-NAC-01/2025-26,2025_ORULB_116989_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,CConstruction of RCC drain with cover slab from Rasarasikapur School to Dr. P.C.Das house in w.no.5,CConstruction of RCC drain with cover slab from Rasarasikapur School to Dr. P.C.Das house in w.no.5,Please refer Tender documents. ,NA ,"5,92,675",Civil Works - Canal,NA ,Tender,30.0,NA ,Athgarh NAC,754029.0,NA ,NA ,NA ,Athgarh NAC,No ,No,EXECUTIVE OFFICER,ATHGARH NAC,"4,720",0.0,Nil,Nil,No,AOC,03-Nov-2025,"INR 503,832.86",30.0,BALAYA DEHURY,03-Nov-2025 11:26 AM,workorder5.pdf (1197.00 KB),work order,1,3044928,NARESH KUMAR ROUT,22-Aug-2025 06:54 PM,Rejected-AOC,Rejected,03-Nov-2025 11:26 AM,Executive Officer,Internal,Assistant Engineer,BALAYA DEHURY,03-Nov-2025 11:08 AM,techsummary_549652.pdf (402.73 KB),Executive Officer,Internal,assistant Engineer,BALAYA DEHURY,03-Nov-2025 11:14 AM,finsummary_549652.pdf (402.73 KB),Municipal Bodies||Athgarh NAC,2025_ORULB_116989_5,ATH-NAC-01/2025-26,CConstruction of RCC drain with cover slab from Rasarasikapur School to Dr. P.C.Das house in w.no.5,1.0,3060184.0,TATHAGAT PATTNAIK,INR,"503,832.86",Finance,Three bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidder to be verified,BALAYA DEHURY,03-Sep-2025 01:44 PM,finance_549652.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3060330,Pradyumna Mohanty,02-Sep-2025 11:47 AM,Rejected-AOC,Rejected,03-Nov-2025 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3060184,TATHAGAT PATTNAIK,01-Sep-2025 09:18 PM,Accepted-AOC,Accepted,03-Nov-2025 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
