Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Odisha Hydro Power Corporation Ltd||Upper Indravati H.E. Project Mukhiguda,e-Tender Call Notice No.21/2025-26 dated.28.07.2025,2025_OHPCL_116218_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"PAN, GST, Tender Cost, EMD, Contractor License, Affidavits etc. refer detail tender document.",01-Aug-2025 10:00 AM,11-Aug-2025 04:30 PM,01-Aug-2025 10:00 AM,11-Aug-2025 01:00 PM,01-Aug-2025 10:00 AM ,07-Aug-2025 01:00 PM ,01-Aug-2025 10:00 AM,11-Aug-2025 01:00 PM,11-Sep-2025 12:00 PM,1,ICICI BANK,Unit Head,"O/o the Sr. General Manager(El.), UIHEP, Mukhiguda-766026","7,080",0.0,Nil,Nil,No,"16,220",Yes,fixed,,Nil,Nil,"Annual maintenance contract for maintenance and repair of residential quarters of Power House Colony at Sector-I, II, III and non-residential building of UIHEP, Mukhiguda for one year.","Annual maintenance contract for maintenance and repair of residential quarters of Power House Colony at Sector-I, II, III and non-residential building of UIHEP, Mukhiguda for one year.",Refer tender document ,NA ,,Civil Works - Others,Maintenance and repair ,Tender,120.0,365.0,"O/o the Sr. General Manager(El.), UIHEP, Mukhiguda",766026.0,NA ,NA ,NA ,"O/o the Sr. General Manager(El.), UIHEP, Mukhiguda",No ,No,AOC,Odisha Hydro Power Corporation Ltd||Upper Indravati H.E. Project Mukhiguda,2025_OHPCL_116218_1,e-Tender Call Notice No.21/2025-26 dated.28.07.2025,"Annual maintenance contract for maintenance and repair of residential quarters of Power House Colony at Sector-I, II, III and non-residential building of UIHEP, Mukhiguda for one year.",Technical,Technical bid of above One no of bidder was opened as per schedule.,TAPAN KUMAR DAS,26-Aug-2025 12:18 PM,technical_547754.pdf,Satyabrat Mohanty,Internal,The contract has been awarded to the L1 bidder.,TAPAN KUMAR DAS,15-Nov-2025 11:29 AM,finsummary_547754.pdf (252.45 KB),1.0,3029118.0,GEETANJALI SAHU,INR,"1,378,297",1.0,3029118.0,GEETANJALI SAHU,08-Aug-2025 08:37 PM,Accepted-AOC,L1 bidder,25-Nov-2025 05:12 PM,25-Nov-2025,"INR 1,378,297",365.0,TAPAN KUMAR DAS,25-Nov-2025 05:12 PM,AOC.pdf (3012.00 KB),The contract has been awarded to the L1 bidder.,Satyabrat Mohanty,Internal,"Technical wing Head, Finance wing Head, Utility Head.",AKSHAYA KUMAR SAHOO,11-Sep-2025 11:54 AM,11-Sep-2025 12:00 PM,techsummary_547754.pdf (175.29 KB),Finance,Bid is admitted.,TAPAN KUMAR DAS,11-Sep-2025 01:22 PM,finance_547754.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Bill of quantities,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
