S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3085209.0,SHASHIKANTA MOHAPATRA,INR,"5,940,205.73",Technical,SUMMARY,Ashok Kumar Sethi,17-Oct-2025 04:42 PM,technical_551882.pdf,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_117794_2,Bid Identification No.- 09 / MIDA / 2025-26,Construction of Mudrabeda-IV Check Dam over Local nallah near village Mudrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,SE,Internal,,Ashok Kumar Sethi,28-Nov-2025 11:21 PM,finsummary_551882.pdf (244.25 KB),SE,Internal,,Ashok Kumar Sethi,17-Oct-2025 04:56 PM,17-Oct-2025 05:00 PM,techsummary_551882.pdf (635.34 KB),Finance,summary,Ashok Kumar Sethi,28-Nov-2025 11:08 PM,finance_551882.pdf,BOQ Comparative Chart,28-Nov-2025,"INR 5,940,205.73",180.0,Ashok Kumar Sethi,28-Nov-2025 11:25 PM,mudrabeda4.pdf (244.00 KB),1,3080129,ABHILIPSA PRIYADARSINI JENA,15-Sep-2025 11:18 AM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 09 / MIDA / 2025-26,2025_CEMIB_117794_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"69,900",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,09-Sep-2025 10:00 AM,19-Sep-2025 10:00 AM,09-Sep-2025 10:05 AM,18-Sep-2025 05:00 PM,NA ,NA ,09-Sep-2025 10:10 AM,18-Sep-2025 05:00 PM,17-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,"License, PAN, GST, EMD, Affidavits,Turnover,credit facility and Other relevant documents as per DTCN",Construction of Mudrabeda-IV Check Dam over Local nallah near village Mudrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,Construction of Mudrabeda-IV Check Dam over Local nallah near village Mudrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,Please refer Tender documents. ,NA ,"69,88,000",Civil Works - Water Works,NA ,Rate Contract,90.0,180.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3084521,ANIL KUMAR SAHOO,16-Sep-2025 10:09 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3086079,ANITA NAIK,18-Sep-2025 12:26 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3084535,ASIN KUMAR JENA,17-Sep-2025 01:29 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3084342,ATISH KUMAR SAHOO,16-Sep-2025 08:01 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3085835,BADRI NARAYAN JENA,18-Sep-2025 09:50 AM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3086024,BANANI PADHIHARI,18-Sep-2025 11:59 AM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3077781,BIMBADHAR ROUT,15-Sep-2025 06:11 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3085727,BIPIN BIHARI MAHANTA,18-Sep-2025 12:32 AM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3086081,BISMAY KUMAR SAHOO,18-Sep-2025 12:29 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3084818,BULARAM SETHY,17-Sep-2025 12:13 PM,Rejected-Finance,lottery,28-Nov-2025 11:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
