S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"8,95,800",Yes,fixed,,Nil,Nil,17-Feb-2025 04:00 PM,03-Mar-2025 11:00 AM,17-Feb-2025 04:00 PM,01-Mar-2025 05:30 PM,NA ,NA ,17-Feb-2025 04:00 PM,01-Mar-2025 05:30 PM,19-May-2025 03:30 PM,CCE Cuttack RandB Circle,O/o CCE Cuttack RandB Circle,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GSTIN, PAN, RC, Affidavit and correctness certificate",EIC-CIVIL||SERNB-CIRCLE-CUTTACK,CCE.Ctc.(RandB)14/2024-25,2025_EICCL_110693_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Construction of 200 seated Boys Hostel (Gplus3) with Head room and parapet at SIPT Pattamundai in Kendrapara District for the year 2023-24,Building work,As per DTCN ,NA ,"8,95,73,587",Civil Works - Buildings,NA ,Tender,90.0,330.0,Kendrapara,754103.0,NA ,NA ,NA ,O/o CCE Cuttack RandB Circle,No ,No,AOC,24-Nov-2025,"INR 76,146,506",330.0,Trinatha Behera,24-Nov-2025 06:34 PM,Agt200sipt.pdf (706.00 KB),The date of commencement may be read as 24.10.2025 to complete the work within 11 calendar months,1,2842100,AMAN INFRA ENGINEERING AND CONSTRUCTION,01-Mar-2025 01:31 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,Finance,12 bidders have participated,Parsuram Sahu,19-May-2025 08:59 PM,,BOQ Comparative Chart,Trinath Behera,Internal,SE KendraparaI DAO EE Cuttack Circle EE PA to CCE JE Estimator,Trinatha Behera,17-May-2025 05:49 PM,19-May-2025 03:30 PM,techsummary_530366.pdf (724.08 KB),Trinath Behera,Internal,SE Kendrapara1 DAO PA to CCE JE Estimator,Trinatha Behera,24-Nov-2025 06:27 PM,finsummary_530366.pdf (47.10 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK,2025_EICCL_110693_7,CCE.Ctc.(RandB)14/2024-25,Construction of 200 seated Boys Hostel (Gplus3) with Head room and parapet at SIPT Pattamundai in Kendrapara District for the year 2023-24,Technical,12 bidders have participated,Parsuram Sahu,30-Mar-2025 09:19 PM,,1.0,2839875.0,BAZRANGI CONSTRUCTIONS PROP. BIJAYA KUMAR NAYAK,INR,"76,146,506",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Machinaries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2840958,Avijit Mohapatra,28-Feb-2025 07:11 AM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2839875,BAZRANGI CONSTRUCTIONS PROP. BIJAYA KUMAR NAYAK,01-Mar-2025 03:30 PM,Accepted-AOC,Due to L1,24-Nov-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2842071,KAILASH CHANDRA LENKA,01-Mar-2025 03:05 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2842106,KT CONSTRUCTION,01-Mar-2025 01:53 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2841139,M/S.Parikshita Chuli and Sons,01-Mar-2025 11:27 AM,Rejected-Finance,Due to L2,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2842072,SACHIN KUMAR SAHOO,01-Mar-2025 01:17 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2838570,Sarada Prasad Swain,26-Feb-2025 01:21 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2836089,SATISH KUMAR SAHOO,25-Feb-2025 12:46 PM,Rejected-Finance,Due to L3,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2842034,SILADITYA BEHERA,01-Mar-2025 12:46 PM,Rejected-Finance,Due to L4,24-Nov-2025 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
