Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er P P Naik,Internal,S K Chodhary DAO B S dandapat Estimator T Atti SDO Lahunipara S C Kisan SDO Rourkela,Bikash Singh Dandapat,24-Sep-2025 03:55 PM,techsummary_543621.pdf (930.47 KB),1.0,2987951.0,ABHINASH ROUT,INR,"2,380,941",Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Rourkela,2025_RWSS_114589_1,Bid Identification no. 01 of 2025-26,Building Work,1,2987951,ABHINASH ROUT,03-Jul-2025 04:40 PM,Accepted-AOC,Won lottery held on 11.09.2025,15-Nov-2025 02:09 PM,17-Oct-2025,"INR 2,380,941",180.0,Pragyan Parimita Naik,15-Nov-2025 02:09 PM,WOKUARMUNDA.pdf (660.00 KB),Finance,All 11 nos of agencies quoted their bid in same cost Tender of Maa Bhanbhari Construction rejected as he has not uploaded work experience certificate and turn over. Lottery was conducted among 10 nos of agencies for finalization,Bikash Singh Dandapat,24-Sep-2025 03:27 PM,finance_543621.pdf,BOQ Comparative Chart,Er P P Naik,Internal,S K Chowdhary DAO B S Dandapat Estimator T Atti SDO Lahunipara S C Kisan SDO Rourkela,Bikash Singh Dandapat,24-Sep-2025 04:15 PM,finsummary_543621.pdf (468.12 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid registration certificate, GSTIN Registration, PAN",1.0,ICICI BANK,Building Work,Construction of office building for RWSS Section Kuarmunda under RWSS Division Rourkela,Please refer Tender documents. ,NA ,"28,00,778",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kuarmunda,770039.0,NA ,NA ,NA ,RWSS Division office Rourkela,No ,No,Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Rourkela,Bid Identification no. 01 of 2025-26,2025_RWSS_114589_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer RWSS Division Rourkela,Offie of the Executive Engineer RWSS Division Rourkela at Panposh,20-Jun-2025 10:00 AM,05-Jul-2025 11:00 AM,20-Jun-2025 10:00 AM,03-Jul-2025 06:00 PM,20-Jun-2025 10:00 AM ,01-Jul-2025 05:00 PM ,20-Jun-2025 10:00 AM,03-Jul-2025 06:00 PM,"6,000",0.0,Nil,Nil,No,"29,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2987807,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,03-Jul-2025 03:44 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"No Relationship Certificate, Works of similar nature, Plants and machineries, Affidavits",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2986479,AJAY KUMAR JAISWAL,02-Jul-2025 01:13 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"All Schedules in desired formats, undertakings, affidavits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2987921,ARUN KUMAR SUNANI,03-Jul-2025 04:09 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2982252,GANESH ROUT,28-Jun-2025 05:25 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2987616,Maa Bhanbhori Constructions,03-Jul-2025 12:59 PM,Rejected-Technical,Work Experience not uploaded,24-Sep-2025 03:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2986614,PRITI RANJAN SAMAL,02-Jul-2025 02:32 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2986529,SANJAY JAISWAL,02-Jul-2025 01:41 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2986954,SARITA NAYAK,02-Jul-2025 06:35 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2986486,SRI ASHOK KUMAR JAISWAL,02-Jul-2025 01:34 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 02:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
