S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3011434.0,G Kamaraju Reddy,INR,"374,635",Finance,Five Bidders are participated and all are accepted,Manajita Rath,31-Jul-2025 01:56 PM,,BOQ Comparative Chart,Purushottam Beniya,Internal,,Purushottam Benia,20-Nov-2025 03:08 PM,finsummary_546594.pdf (295.66 KB),Municipal Bodies||Gopalpur NAC,2025_ORULB_115776_8,GPN-NAC-03/2025-26,Surrounding Development of Community Center near Muttyulamma Temple under Gopalpur NAC,Purushottam Beniya,Internal,,Purushottam Benia,20-Nov-2025 02:50 PM,techsummary_546594.pdf (169.32 KB),1,3015718,CH SIMANCHALA,28-Jul-2025 06:45 PM,Rejected-AOC,Reject,20-Nov-2025 05:09 PM,20-Nov-2025,"INR 374,635",30.0,Purushottam Benia,20-Nov-2025 05:09 PM,Agreement.pdf (405.00 KB),AOC,"Executive Officer, Gopalpur NAC","Executive Officer, Gopalpur NAC",1.0,ICICI BANK,Municipal Bodies||Gopalpur NAC,GPN-NAC-03/2025-26,2025_ORULB_115776_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, Affidavit and all other Document as per DTCN",Surrounding Development of Community Center near Muttyulamma Temple under Gopalpur NAC,Surrounding Development of Community Center near Muttyulamma Temple under Gopalpur NAC,Please refer Tender documents. ,NA ,"4,40,670",Civil Works - Others,NA ,Tender,30.0,NA ,Gopalpur,760010.0,NA ,NA ,NA ,"Executive Officer, Gopalpur NAC",No ,No,"2,000",0.0,Nil,Nil,No,21-Jul-2025 10:00 AM,31-Jul-2025 11:00 AM,21-Jul-2025 10:00 AM,30-Jul-2025 04:00 PM,NA ,NA ,21-Jul-2025 10:00 AM,30-Jul-2025 04:00 PM,"4,410",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3015843,DHIREN KUMAR SETHY,28-Jul-2025 09:10 PM,Rejected-AOC,Reject,20-Nov-2025 05:09 PM,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3011434,G Kamaraju Reddy,30-Jul-2025 08:52 AM,Accepted-AOC,Accept,20-Nov-2025 05:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3015336,KAILASH NAYAK,28-Jul-2025 07:28 PM,Rejected-AOC,Reject,20-Nov-2025 05:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3017757,M SURESH REDDY,30-Jul-2025 12:55 PM,Rejected-AOC,Reject,20-Nov-2025 05:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
