S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2779616.0,B Manoj Kumar Rao,INR,"67,332,890",CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_109521_5,Online Tender/16-2024-25/BPR,Improvement to Mandar Malatibadi road to Bhaktakhali road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25,Technical,Documents to be verified,Lopamudra Dalai,11-Jun-2025 04:50 PM,technical_526235.pdf,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,17-Jul-2025 07:19 PM,finsummary_526235.pdf (638.37 KB),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,20-Jun-2025 06:13 PM,30-Jun-2025 11:00 AM,techsummary_526235.pdf (3175.20 KB),Finance,Documents to be verified,Lopamudra Dalai,03-Jul-2025 01:58 PM,finance_526235.pdf,BOQ Comparative Chart,29-Oct-2025,"INR 67,332,890",330.0,Lopamudra Dalai,15-Nov-2025 12:45 PM,Mandar.pdf (343.00 KB),1,2780459,Biranchi Narayan panda,27-Jan-2025 01:44 PM,Rejected-Technical,DIS-QUALIFIED,20-Jun-2025 06:13 PM,AOC,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/16-2024-25/BPR,2025_CERWI_109521_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to Mandar Malatibadi road to Bhaktakhali road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25,Improvement to Mandar Malatibadi road to Bhaktakhali road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25,Please refer Tender documents. ,NA ,"7,92,07,000",Civil Works - Roads,NA ,Tender,90.0,330.0,Ganjam,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN",1.0,ICICI BANK,"Chief Construction Engineer, R.W.Circle, BAM","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11","10,000",0.0,Nil,Nil,No,17-Jan-2025 06:55 PM,28-Jan-2025 11:00 AM,17-Jan-2025 06:55 PM,27-Jan-2025 05:30 PM,17-Jan-2025 06:55 PM ,24-Jan-2025 05:30 PM ,17-Jan-2025 06:55 PM,27-Jan-2025 05:30 PM,30-Jun-2025 11:00 AM,"7,92,100",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2779616,B Manoj Kumar Rao,27-Jan-2025 12:04 PM,Accepted-AOC,Successful bidders after lottery system,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2774799,M/s Bajarangi Construction,25-Jan-2025 06:50 PM,Rejected-AOC,1st Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2776934,M/s GHANASHYAM CONSTRUCTIONS,25-Jan-2025 05:44 PM,Rejected-AOC,3rd Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2779513,Nilachala Sahu,27-Jan-2025 08:36 AM,Rejected-AOC,3rd Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2780039,Pradeep Kumar Satapathy,27-Jan-2025 04:01 PM,Rejected-Technical,DIS-QUALIFIED,20-Jun-2025 06:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2775593,Ranjit Kumar Swain,24-Jan-2025 08:29 PM,Rejected-AOC,3rd Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2774780,SARATHI SWAIN,26-Jan-2025 03:55 PM,Rejected-Technical,DIS-QUALIFIED,20-Jun-2025 06:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2779395,SUCHITA PANDA,26-Jan-2025 11:29 PM,Rejected-AOC,2nd Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2779725,Tusar Ranjan Acharya,27-Jan-2025 09:50 AM,Rejected-AOC,1st Lowest,15-Nov-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
