Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage
S.K. Behera,Internal,"A. S. SWAIN, S. PRADHAN.",Sunil Kumar Behera,16-Oct-2025 11:37 AM,finsummary_550006.pdf (768.47 KB),31-Oct-2025,"INR 73,620,541.348",450.0,Sunil Kumar Behera,22-Nov-2025 12:56 PM,AOC.pdf (819.00 KB),WORK ORDER,1,3049323,ARYA PRAKASH CHAMPATIRAY,26-Aug-2025 10:25 AM,Accepted-AOC,SUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,22-Nov-2025 12:57 PM,Technical,List of Bidders,Sunil Kumar Behera,13-Oct-2025 10:41 AM,technical_550006.pdf,Finance,Financial Proceeding,Sunil Kumar Behera,16-Oct-2025 11:20 AM,finance_550006.pdf,BOQ Comparative Chart,1.0,3049323.0,ARYA PRAKASH CHAMPATIRAY,INR,"73,620,541.348",Odisha Tourism Devl. Corp.,2025_OTDC_117103_1,BPI/17/2025-26 Dt.25.07.2025,Construction of Boys Hostel on 2nd Floor and Kitchen lab with guest house on 4th floor of Academic Building at SIHM in the District of Bolangir,S.K. Behera,Internal,"S. PRADHAN, A. S. SWAIN.",Sunil Kumar Behera,13-Oct-2025 10:51 AM,13-Oct-2025 11:00 AM,techsummary_550006.pdf (6408.93 KB),1.0,Construction of Boys Hostel on 2nd Floor and Kitchen lab with guest house on 4th floor of Academic Building at SIHM in the District of Bolangir,Revoke,13-Oct-2025 10:12 AM,Revoke.pdf ,87.82,Technical Opening,AOC,Odisha Tourism Devl. Corp.,BPI/17/2025-26 Dt.25.07.2025,2025_OTDC_117103_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,3rd Corrigendum,Other,,21-Aug-2025 09:00 AM,02-Sep-2025 11:30 AM,21-Aug-2025 09:00 AM,01-Sep-2025 05:00 PM,NA ,NA ,21-Aug-2025 09:00 AM,01-Sep-2025 05:00 PM,13-Oct-2025 11:00 AM,Construction of Boys Hostel on 2nd Floor and Kitchen lab with guest house on 4th floor of Academic Building at SIHM in the District of Bolangir,Construction of Boys Hostel on 2nd Floor and Kitchen lab with guest house on 4th floor of Academic Building at SIHM in the District of Bolangir,As per DTCN ,NA ,"8,66,02,000",Civil Works - Buildings,NA ,Tender,90.0,450.0,Bolangir,767001.0,NA ,NA ,NA ,"Superintending Engineer,O.T.D.C. Ltd.,Bhubaneshwar",No ,No,"10,000","1,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,"Superintending Engineer,O.T.D.C. Ltd.,Bhubaneshwar","Superintending Engineer, O.T.D.C. Ltd., Bhubaneshwar","8,66,020",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3056057,ASHOK KUMAR DASH,01-Sep-2025 02:16 PM,Rejected-Finance,NOT ELIGIBLE,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3057042,ASHUTOSH SAHU,30-Aug-2025 09:34 PM,Rejected-Technical,Not Fulfilled eligibility criteria,13-Oct-2025 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3047469,DIPTI RANJAN MOHANTY,25-Aug-2025 07:12 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3057793,MD. ILIYAS,31-Aug-2025 04:50 PM,Rejected-Technical,Not fulfilled eligibility criteria,13-Oct-2025 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3059549,M/S BRILLIANT DEVELOPERS,01-Sep-2025 04:40 PM,Rejected-Finance,NOT ELIGIBLE,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3048477,PRASANA KUMAR SAHOO,01-Sep-2025 01:26 PM,Rejected-Finance,NOT ELIGIBLE,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3059490,SANDEEP NAYAK,01-Sep-2025 03:59 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3048271,Sanjaya Kumar Agrawal,29-Aug-2025 04:15 PM,Rejected-AOC,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,22-Nov-2025 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3045105,SAROJ KUMAR MISHRA,31-Aug-2025 10:18 PM,Rejected-Finance,NOT ELIGIBLE,16-Oct-2025 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
