Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Odisha Tourism Devl. Corp.,2025_OTDC_116149_1,BP II/01/2025-26 Dt. 10.07.2025,Infrastructure Development at Sonepur in Sonepur District,1.0,3015930.0,ASHUTOSH SAHU,INR,"36,132,319.97",S B Naik,Internal,"S K Behera, L Sahoo, A S Swain, S Prdhan",Sabyasachi Naik,17-Sep-2025 06:11 PM,25-Sep-2025 11:30 AM,techsummary_547536.pdf (372.48 KB),29-Nov-2025,"INR 36,132,319.97",15.0,Sabyasachi Naik,29-Nov-2025 01:13 PM,SonepurWO.pdf (785.00 KB),Work Order Issued,S B Naik,Internal,"S Pradhan, A S Swain, D Malik",Sabyasachi Naik,28-Nov-2025 01:02 PM,finsummary_547536.pdf (776.90 KB),Finance,Bidders list,Sabyasachi Naik,28-Nov-2025 12:45 PM,finance_547536.pdf,BOQ Comparative Chart,1,3021422,ARYA PRAKASH CHAMPATIRAY,02-Aug-2025 01:14 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,Technical,10 Nos. Bidders participated,Sabyasachi Naik,17-Sep-2025 06:04 PM,technical_547536.pdf,AOC,"3,60,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,Odisha Tourism Devl. Corp.,BP II/01/2025-26 Dt. 10.07.2025,2025_OTDC_116149_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, OTDC, BBSR","Executive Engineer, OTDC, BBSR",Infrastructure Development at Sonepur in Sonepur District,Infrastructure Development at Sonepur in Sonepur District,As per DTCN ,NA ,"3,60,20,000",Civil Works - Others,NA ,Tender,90.0,15.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the Executive Engineer, OTDC, BBSR",No ,No,26-Jul-2025 09:00 AM,05-Aug-2025 11:30 AM,26-Jul-2025 09:00 AM,04-Aug-2025 05:00 PM,NA ,NA ,26-Jul-2025 09:00 AM,04-Aug-2025 05:00 PM,25-Sep-2025 11:30 AM,"10,000","1,800",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3021289,ASHOK KUMAR DASH,04-Aug-2025 12:44 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3015930,ASHUTOSH SAHU,28-Jul-2025 10:23 PM,Accepted-AOC,Successful Bidder in lottery,29-Nov-2025 01:13 PM,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3022357,MD. ILIYAS,03-Aug-2025 05:48 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3022835,PRASANA KUMAR SAHOO,04-Aug-2025 11:38 AM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3023177,Raghunandan Agrawal,04-Aug-2025 03:03 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3023353,RAJESH KUMAR GIRI,04-Aug-2025 04:10 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3023385,SANDEEP NAYAK,04-Aug-2025 04:39 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023073,SANJAYA MOHANTY,04-Aug-2025 01:40 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3023328,SNEHALATA CONSTRUCTION AND INTERIOR,04-Aug-2025 04:00 PM,Rejected-Finance,Unsuccessful bidder in the lottery,28-Nov-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
